FS_Method,Model,Features_Used,Fold,R2,MSE,MAE
RF,RF,1,1,0.24892869352861302,10877.628495255585,81.62789778758969
RF,RF,1,2,0.11365259518284287,16205.621718620154,100.40792556769587
RF,RF,1,3,0.4926935764119821,12128.18527454063,83.60245352436566
RF,RF,1,4,0.13170512370302545,14287.988003211196,83.56191950163809
RF,RF,1,5,0.473783723632909,10426.20052361574,76.02247487592398
RF,RF,1,6,0.6272841785128285,6816.720153491676,64.13911589819156
RF,RF,1,7,0.6076108740648707,11329.390316345574,80.1252434450895
RF,RF,1,8,0.5092198349763628,9828.5112668467,75.1653160360115
RF,RF,1,9,0.2685500542218455,12393.942294281147,87.33032856207329
RF,RF,1,10,0.4438131725444653,11689.723677115984,77.681998043166
RF,RF,2,1,0.5090074127218152,7110.955926978837,63.090445099474934
RF,RF,2,2,0.5386618033373213,8434.923212764445,67.03892289087233
RF,RF,2,3,0.8088357079853863,4570.168725701866,52.578719477992195
RF,RF,2,4,0.4880339416818321,8424.516945784026,65.23008692906383
RF,RF,2,5,0.6953982802372765,6035.234470529534,57.628173582197455
RF,RF,2,6,0.7460699835182713,4644.208163798197,51.67344335090349
RF,RF,2,7,0.7744696650379316,6511.702348713532,58.107437800417
RF,RF,2,8,0.6823569422442561,6361.215457510603,53.898339679370274
RF,RF,2,9,0.6387775602331227,6120.678659846358,60.533881947423296
RF,RF,2,10,0.783702511030263,4546.058542374252,47.71025594181914
RF,RF,3,1,0.6306331412782695,5349.472723849294,56.19249683684214
RF,RF,3,2,0.6004220880443297,7305.722849840691,59.40491054464287
RF,RF,3,3,0.8174958169723482,4363.1313191010695,50.97064973749998
RF,RF,3,4,0.5788993864790593,6929.305560101277,64.09016608035718
RF,RF,3,5,0.7495281247042418,4962.7313229244855,55.674287594642855
RF,RF,3,6,0.751492435090714,4545.035193979756,52.227041466071434
RF,RF,3,7,0.8003109305044156,5765.591502648699,54.21183835535716
RF,RF,3,8,0.7418894190764425,5169.0001623789185,54.380723901785686
RF,RF,3,9,0.6796554946350919,5428.028721170885,55.25091886250001
RF,RF,3,10,0.8412941942769947,3335.618398845131,43.75661436964284
RF,RF,4,1,0.6594185662872986,4932.578673140163,54.892177894736875
RF,RF,4,2,0.5908483386024793,7480.765458461499,60.55560121785715
RF,RF,4,3,0.8146415241210836,4431.368957968513,51.99515257321429
RF,RF,4,4,0.5942594469403595,6676.552301282557,63.613629057142866
RF,RF,4,5,0.7666291501160214,4623.899690171492,54.05193411785716
RF,RF,4,6,0.7352653749507791,4841.817142882406,53.22822041785719
RF,RF,4,7,0.7859620650227188,6179.884068100057,57.413104746428566
RF,RF,4,8,0.7603878522040411,4798.5449741484435,52.465546710714285
RF,RF,4,9,0.701958281007304,5050.122551522041,54.168330735714314
RF,RF,4,10,0.8427413040611788,3305.2035945518487,43.82625871250001
RF,RF,5,1,0.6875941252722789,4524.517200622103,52.222316584210546
RF,RF,5,2,0.6221304028693032,6908.816697365629,58.738194891071444
RF,RF,5,3,0.8129375885263774,4472.104981853878,50.112574473214295
RF,RF,5,4,0.6125399407087986,6375.742653792594,61.481397175
RF,RF,5,5,0.7667684704238917,4621.139263457029,50.934585610714294
RF,RF,5,6,0.7189133724094366,5140.8842037567,54.951763864285724
RF,RF,5,7,0.7804913615852216,6337.838839146968,58.839466069642874
RF,RF,5,8,0.7454225392222809,5098.244835176924,53.740769119642856
RF,RF,5,9,0.7223673195259791,4704.304704187154,52.730380726785725
RF,RF,5,10,0.8556700547883921,3033.4720179827887,42.98003449642858
RF,RF,6,1,0.6915973967465201,4466.538551341739,51.1426721385965
RF,RF,6,2,0.6283675149041175,6794.779833599209,58.73702443392858
RF,RF,6,3,0.8215717335141117,4265.688297125424,49.351781632142874
RF,RF,6,4,0.6286623449803883,6110.444855655399,60.348455258928574
RF,RF,6,5,0.7625912913606689,4703.903914594174,52.75315258035713
RF,RF,6,6,0.728693689105391,4962.008829851656,54.91806823214286
RF,RF,6,7,0.7817845943711761,6300.499529687112,58.19069607142859
RF,RF,6,8,0.7651863900941415,4702.448010419336,52.41787501428571
RF,RF,6,9,0.7161148704812438,4810.248375528797,52.98304700714285
RF,RF,6,10,0.8541977233718306,3064.416920974249,41.38390825178572
RF,XGB,1,1,0.2645348407290794,10651.60751691934,80.6162528233043
RF,XGB,1,2,0.17851665688683382,15019.673137516162,98.1612815444685
RF,XGB,1,3,0.4726102812083388,12608.317032838419,85.0512920891026
RF,XGB,1,4,0.08366169674226531,15078.55342837641,84.8048345992646
RF,XGB,1,5,0.49360875077694455,10033.396808350868,74.64775495237078
RF,XGB,1,6,0.6298474740802174,6769.839212178652,63.25037709279183
RF,XGB,1,7,0.49480863181617596,14586.311944713298,88.0035990201426
RF,XGB,1,8,0.47995538051342934,10414.570037973303,78.60381401192429
RF,XGB,1,9,0.09014611466633049,15416.880698591454,92.74459101105455
RF,XGB,1,10,0.4395028752301424,11780.315870392402,76.22968707805792
RF,XGB,2,1,0.49716763182434953,7282.429310342287,64.03834291640969
RF,XGB,2,2,0.5290593476493499,8610.490674916802,70.41588537674009
RF,XGB,2,3,0.7662797959998847,5587.553803219337,58.32954832232883
RF,XGB,2,4,0.5020325900938365,8194.16602925566,65.52902699075499
RF,XGB,2,5,0.6332941637649434,7265.736073697021,66.41465948014395
RF,XGB,2,6,0.6616384518105728,6188.4037428470165,56.50307644792728
RF,XGB,2,7,0.7150036292963556,8228.655966825392,66.99551919854922
RF,XGB,2,8,0.642363389828132,7162.138372771796,54.58224899010388
RF,XGB,2,9,0.5368747042121408,7847.356096130623,63.30376989777871
RF,XGB,2,10,0.7335011544895571,5601.1716036848375,55.94252305582966
RF,XGB,3,1,0.6381043325019113,5241.268826499523,53.00709252471389
RF,XGB,3,2,0.5138585967930318,8888.415128553916,71.9872303097071
RF,XGB,3,3,0.7903141773106491,5012.963346756621,53.25844706747055
RF,XGB,3,4,0.5808281554955519,6897.567230968045,62.42668137267871
RF,XGB,3,5,0.7040490346037749,5863.832513280426,55.57087772906713
RF,XGB,3,6,0.642623641706485,6536.1717520883785,59.45790694891908
RF,XGB,3,7,0.7896094198310939,6074.574558954505,57.23988818480764
RF,XGB,3,8,0.7342805288922603,5321.3780868205695,54.49739352310428
RF,XGB,3,9,0.6297584383267798,6273.501798459596,56.478642326100896
RF,XGB,3,10,0.8116421296710065,3958.8342403380784,43.95496530469273
RF,XGB,4,1,0.558601450725955,6392.694536428469,62.53944513329222
RF,XGB,4,2,0.5644244208164266,7963.889810873886,67.68622809660766
RF,XGB,4,3,0.7715533606765115,5461.478582245312,57.01445057733808
RF,XGB,4,4,0.5954664697226997,6656.690469197093,60.426844554523576
RF,XGB,4,5,0.7115113161194471,5715.978395229933,56.571412366986955
RF,XGB,4,6,0.6956957594237738,5565.518633612223,50.65490484299796
RF,XGB,4,7,0.7537921891596976,7108.7198996536745,61.93326247881924
RF,XGB,4,8,0.7651648631011427,4702.879116458878,52.99781548784529
RF,XGB,4,9,0.663699768748401,5698.388090317645,53.88632380780492
RF,XGB,4,10,0.797622053001172,4253.50289143167,48.20822143345287
RF,XGB,5,1,0.5972458459112147,5833.014822096165,59.42408405568976
RF,XGB,5,2,0.5196850152178601,8781.887222617705,70.32077441760676
RF,XGB,5,3,0.7725016451972456,5438.807924383146,53.987386973190304
RF,XGB,5,4,0.5284229063411512,7759.907423987078,67.29068301994937
RF,XGB,5,5,0.7092602594340343,5760.579768175242,57.75782250348772
RF,XGB,5,6,0.6580200710557925,6254.581478247944,56.20008183383192
RF,XGB,5,7,0.723810700512274,7974.370766869347,66.29746774160948
RF,XGB,5,8,0.7653340229159106,4699.491471105968,53.005607651808596
RF,XGB,5,9,0.6801542301175607,5419.577973685691,53.921830705711336
RF,XGB,5,10,0.8125869552511031,3938.976254838982,45.37479396563908
RF,XGB,6,1,0.6232692751292209,5456.122251754261,59.67931935632539
RF,XGB,6,2,0.6080929057052364,7165.472685390998,62.707922874222824
RF,XGB,6,3,0.7872860939927042,5085.355797944282,51.16570887536185
RF,XGB,6,4,0.6092213537881999,6430.350749963038,61.55197190676919
RF,XGB,6,5,0.682056553925774,6299.581128172417,64.37914440743582
RF,XGB,6,6,0.7042054806640639,5409.88159076327,53.93072687790019
RF,XGB,6,7,0.7707763772103442,6618.338074791894,59.3336232273061
