Method,Top_K,Meta_Model,FS_Method,Best_n,Fold,R2,MSE,MAE
RandomAverage,10,None,None,10,1,0.7411605475266541,4874.128480488496,53.32060447319153
RandomAverage,10,None,None,10,2,0.8569295769778347,3399.643260028217,44.51443177082147
RandomAverage,10,None,None,10,3,0.7118135042614476,4400.287394737745,51.38412949578669
RandomAverage,10,None,None,10,4,0.7149782659692583,5903.1131207575545,55.64398041367989
RandomAverage,10,None,None,10,5,0.68211159919145,6551.249325510695,59.770029460209834
RandomAverage,10,None,None,10,6,0.7341148743569018,5988.5031879542175,58.33852527969663
RandomAverage,10,None,None,10,7,0.7801057484672964,4202.18610178252,50.805073665531395
RandomAverage,10,None,None,10,8,0.6742796986296442,6282.094614495172,59.31943153004915
RandomAverage,10,None,None,10,9,0.8176635462318302,3141.718698740097,44.21523903576409
RandomAverage,10,None,None,10,10,0.655373837630446,7168.367137529816,61.27845420658995
TopKAverage,10,None,None,10,1,0.7686020751318001,4357.385263910541,51.491880968771945
TopKAverage,10,None,None,10,2,0.8855650953222103,2719.2052989145564,38.56066641000003
TopKAverage,10,None,None,10,3,0.7652572422740812,3584.260932075157,49.00332365392858
TopKAverage,10,None,None,10,4,0.7249767492878731,5696.033550960872,56.76164937964291
TopKAverage,10,None,None,10,5,0.6851532445076662,6488.5651357899615,59.91339897500001
TopKAverage,10,None,None,10,6,0.7080141709491604,6576.366631563758,62.59543066892858
TopKAverage,10,None,None,10,7,0.794772782578195,3921.8986160224754,50.16950059892856
TopKAverage,10,None,None,10,8,0.6406085450031584,6931.502624898164,62.971710733214294
TopKAverage,10,None,None,10,9,0.7897455135542406,3622.75583356745,45.723840363571426
TopKAverage,10,None,None,10,10,0.7196157002159048,5832.109746492017,55.07423417178569
FS_MetaModel,10,LinearRegression,RF,7,1,0.7671527859960892,4384.6763950937175,50.552744494120795
FS_MetaModel,10,LinearRegression,RF,7,2,0.8909757374730675,2590.6374738390937,38.0238766876771
FS_MetaModel,10,LinearRegression,RF,7,3,0.7603598046261792,3659.039360166832,49.50590062084674
FS_MetaModel,10,LinearRegression,RF,7,4,0.7266978924307713,5660.386786323449,56.16204526108527
FS_MetaModel,10,LinearRegression,RF,7,5,0.6792321665930311,6610.5905308527745,60.35736710531921
FS_MetaModel,10,LinearRegression,RF,7,6,0.6949481117808212,6870.652130966343,63.18482378080127
FS_MetaModel,10,LinearRegression,RF,7,7,0.7975074166643717,3869.639672142428,49.81973266294363
FS_MetaModel,10,LinearRegression,RF,7,8,0.6319041671948451,7099.382013201814,63.87248222639692
FS_MetaModel,10,LinearRegression,RF,7,9,0.7859962333031838,3687.357198945208,46.11654395782863
FS_MetaModel,10,LinearRegression,RF,7,10,0.7221499395398188,5779.396517283668,54.99282101452194
FS_MetaModel,10,LinearRegression,RFE_RF,10,1,0.7656019524136102,4413.879679448667,50.78867486330903
FS_MetaModel,10,LinearRegression,RFE_RF,10,2,0.8959143949964445,2473.2849602427987,38.07348123128774
FS_MetaModel,10,LinearRegression,RFE_RF,10,3,0.7603598046261791,3659.039360166833,49.50590062084674
FS_MetaModel,10,LinearRegression,RFE_RF,10,4,0.727182358825342,5650.352955254103,56.06760676614093
FS_MetaModel,10,LinearRegression,RFE_RF,10,5,0.6795169405108759,6604.721726163901,60.37823439446561
FS_MetaModel,10,LinearRegression,RFE_RF,10,6,0.6953027883553193,6862.663787158324,63.21893244200992
FS_MetaModel,10,LinearRegression,RFE_RF,10,7,0.7967255500447903,3884.5811679721364,49.955266658644746
FS_MetaModel,10,LinearRegression,RFE_RF,10,8,0.6319041671948449,7099.382013201818,63.87248222639695
FS_MetaModel,10,LinearRegression,RFE_RF,10,9,0.7851103257064631,3702.6216861305943,46.21928669664463
FS_MetaModel,10,LinearRegression,RFE_RF,10,10,0.7215799843337929,5791.251822001823,54.967723570634696
FS_MetaModel,10,LinearRegression,XGB,4,1,0.7672445029235244,4382.949301005535,50.926872524802825
FS_MetaModel,10,LinearRegression,XGB,4,2,0.8864631331646354,2697.8660994227243,38.061185672261146
FS_MetaModel,10,LinearRegression,XGB,4,3,0.7608473690141035,3651.594794019455,49.347040653644015
FS_MetaModel,10,LinearRegression,XGB,4,4,0.7272792839926503,5648.345528596574,56.00142023612711
FS_MetaModel,10,LinearRegression,XGB,4,5,0.6801901558893568,6590.847669158427,60.430995025244265
FS_MetaModel,10,LinearRegression,XGB,4,6,0.6962753413180875,6840.759077355905,63.14454620635802
FS_MetaModel,10,LinearRegression,XGB,4,7,0.7986107966795198,3848.5540451543566,49.84432561390923
FS_MetaModel,10,LinearRegression,XGB,4,8,0.6360050759787305,7020.288702538046,63.518909280057905
FS_MetaModel,10,LinearRegression,XGB,4,9,0.7859962333031838,3687.357198945208,46.11654395782863
FS_MetaModel,10,LinearRegression,XGB,4,10,0.7198914610785125,5826.37380615672,54.82871923757529
FS_MetaModel,10,LinearRegression,RF_XGB,4,1,0.7672445029235244,4382.949301005535,50.926872524802825
FS_MetaModel,10,LinearRegression,RF_XGB,4,2,0.8864631331646355,2697.8660994227207,38.06118567226114
FS_MetaModel,10,LinearRegression,RF_XGB,4,3,0.7608473690141035,3651.594794019455,49.347040653644015
FS_MetaModel,10,LinearRegression,RF_XGB,4,4,0.7272792839926501,5648.345528596576,56.00142023612711
FS_MetaModel,10,LinearRegression,RF_XGB,4,5,0.6815489466079037,6562.844833082157,60.537552363107885
FS_MetaModel,10,LinearRegression,RF_XGB,4,6,0.6962753413180875,6840.759077355906,63.14454620635801
FS_MetaModel,10,LinearRegression,RF_XGB,4,7,0.7975074166643716,3869.6396721424294,49.81973266294364
FS_MetaModel,10,LinearRegression,RF_XGB,4,8,0.6360050759787306,7020.288702538043,63.51890928005789
FS_MetaModel,10,LinearRegression,RF_XGB,4,9,0.7859962333031838,3687.357198945208,46.11654395782863
FS_MetaModel,10,LinearRegression,RF_XGB,4,10,0.7198914610785125,5826.37380615672,54.82871923757529
RandomAverage,20,None,None,20,1,0.7488512126928667,4729.307859975102,53.51243080993898
RandomAverage,20,None,None,20,2,0.8805706395412318,2837.8836922165856,39.96875393929867
RandomAverage,20,None,None,20,3,0.7305709626170652,4113.881859502596,50.70746101920506
RandomAverage,20,None,None,20,4,0.7213936887334511,5770.242669936326,55.12559967911061
RandomAverage,20,None,None,20,5,0.6950096366915963,6285.438244457333,59.08676544612904
RandomAverage,20,None,None,20,6,0.7323472656067016,6028.314857035092,59.677799377856964
RandomAverage,20,None,None,20,7,0.8075579731784541,3677.5732192712153,47.75546762941676
RandomAverage,20,None,None,20,8,0.6844434198308356,6086.069196513517,58.16730640036729
RandomAverage,20,None,None,20,9,0.8269431416364768,2981.8281349113845,43.17458421942638
RandomAverage,20,None,None,20,10,0.6787680390959445,6681.758042500626,58.65764271592372
TopKAverage,20,None,None,20,1,0.7644227845372105,4436.084237813777,51.975181569029616
TopKAverage,20,None,None,20,2,0.8869614025391118,2686.026209074774,38.87956189071129
TopKAverage,20,None,None,20,3,0.7468135487089353,3865.8756277920047,50.50306589020876
TopKAverage,20,None,None,20,4,0.7352035327611116,5484.225634244214,55.73211814673931
TopKAverage,20,None,None,20,5,0.6870922003964828,6448.605881452602,59.29148881477099
TopKAverage,20,None,None,20,6,0.7042234039534339,6661.745684580707,62.70835610308908
TopKAverage,20,None,None,20,7,0.8039411471362663,3746.6908793333123,49.41475160972236
TopKAverage,20,None,None,20,8,0.648450074506277,6780.264798905443,61.943135540922604
TopKAverage,20,None,None,20,9,0.7962150456345505,3511.2836101652606,45.22294088892959
TopKAverage,20,None,None,20,10,0.714155178115147,5945.690871359878,55.07445221588129
FS_MetaModel,20,LinearRegression,RF,8,1,0.7656019524136103,4413.879679448666,50.78867486330904
FS_MetaModel,20,LinearRegression,RF,8,2,0.8875895462123846,2671.1002421274325,38.13929032549577
FS_MetaModel,20,LinearRegression,RF,8,3,0.7603598046261791,3659.039360166833,49.50590062084675
FS_MetaModel,20,LinearRegression,RF,8,4,0.7271823588253419,5650.352955254105,56.06760676614095
FS_MetaModel,20,LinearRegression,RF,8,5,0.6812150638740702,6569.725703945209,60.64827641789491
FS_MetaModel,20,LinearRegression,RF,8,6,0.7014294782041672,6724.672985293454,62.904205857129945
FS_MetaModel,20,LinearRegression,RF,8,7,0.7967255500447903,3884.581167972137,49.95526665864474
FS_MetaModel,20,LinearRegression,RF,8,8,0.6341847174484968,7055.397550439511,62.9072857559923
FS_MetaModel,20,LinearRegression,RF,8,9,0.797476392239806,3489.5501820249815,45.322719712969636
FS_MetaModel,20,LinearRegression,RF,8,10,0.7032646579345494,6172.218208798311,56.51538893017448
FS_MetaModel,20,LinearRegression,RFE_RF,2,1,0.7716258029378228,4300.446348008231,50.23855502193592
FS_MetaModel,20,LinearRegression,RFE_RF,2,2,0.885389977376493,2723.3664562753306,38.57692611522907
FS_MetaModel,20,LinearRegression,RFE_RF,2,3,0.755723645995971,3729.828348138765,50.46817203317313
FS_MetaModel,20,LinearRegression,RFE_RF,2,4,0.7225505409699324,5746.282989671333,56.66792129278605
FS_MetaModel,20,LinearRegression,RFE_RF,2,5,0.6719524939971077,6760.614721929517,61.145341429208415
FS_MetaModel,20,LinearRegression,RFE_RF,2,6,0.695646977293735,6854.9116552932,63.03447855911194
FS_MetaModel,20,LinearRegression,RFE_RF,2,7,0.7937591926415943,3941.2683517695546,49.75462835921436
FS_MetaModel,20,LinearRegression,RFE_RF,2,8,0.6395720004684282,6951.494227545947,63.785553717768984
FS_MetaModel,20,LinearRegression,RFE_RF,2,9,0.7884366214150366,3645.3084873203834,45.93071960523177
FS_MetaModel,20,LinearRegression,RFE_RF,2,10,0.7212396586546714,5798.330737303836,54.97520015811483
FS_MetaModel,20,LinearRegression,XGB,3,1,0.7712579027024782,4307.374167542451,50.450975646010725
FS_MetaModel,20,LinearRegression,XGB,3,2,0.8865883574307908,2694.8905170246694,37.837824373520995
FS_MetaModel,20,LinearRegression,XGB,3,3,0.7615227665889625,3641.2822239336433,49.272050157582775
FS_MetaModel,20,LinearRegression,XGB,3,4,0.7339185514668937,5510.839008005417,56.493816473014974
FS_MetaModel,20,LinearRegression,XGB,3,5,0.6815489466079034,6562.844833082158,60.5375523631079
FS_MetaModel,20,LinearRegression,XGB,3,6,0.6940519147483852,6890.8370840463485,63.232196333637305
FS_MetaModel,20,LinearRegression,XGB,3,7,0.7983724936817095,3853.108022979751,49.936980440953846
FS_MetaModel,20,LinearRegression,XGB,3,8,0.6352682997629916,7034.49874065206,63.50727888495538
FS_MetaModel,20,LinearRegression,XGB,3,9,0.7919898493149364,3584.085170187136,45.46442304224682
FS_MetaModel,20,LinearRegression,XGB,3,10,0.7169822085507673,5886.887465570369,55.29702135726747
FS_MetaModel,20,LinearRegression,RF_XGB,2,1,0.7710462183695121,4311.360332040651,50.448397163336615
FS_MetaModel,20,LinearRegression,RF_XGB,2,2,0.8846503137254691,2740.9423639491474,37.746424565987475
FS_MetaModel,20,LinearRegression,RF_XGB,2,3,0.7610182278873945,3648.9859689789396,49.472144129960995
FS_MetaModel,20,LinearRegression,RF_XGB,2,4,0.7245740204614772,5704.374507229661,57.39709679071978
FS_MetaModel,20,LinearRegression,RF_XGB,2,5,0.6719524939971077,6760.614721929517,61.145341429208415
FS_MetaModel,20,LinearRegression,RF_XGB,2,6,0.695646977293735,6854.9116552932,63.03447855911194
FS_MetaModel,20,LinearRegression,RF_XGB,2,7,0.7935181611475812,3945.8744712436815,50.091217326432044
FS_MetaModel,20,LinearRegression,RF_XGB,2,8,0.6381053861304102,6979.780490316926,63.29899868042529
FS_MetaModel,20,LinearRegression,RF_XGB,2,9,0.7884366214150366,3645.308487320383,45.93071960523178
FS_MetaModel,20,LinearRegression,RF_XGB,2,10,0.7171964909210132,5882.4303033791375,55.42750438454574
RandomAverage,30,None,None,30,1,0.7497800208136891,4711.817751448947,53.200490363225256
RandomAverage,30,None,None,30,2,0.8745654292742081,2980.579660943655,41.78150181209994
RandomAverage,30,None,None,30,3,0.7342875463196455,4057.1337583258187,50.74712536998229
RandomAverage,30,None,None,30,4,0.7200613732371612,5797.836387004545,54.958156988336
RandomAverage,30,None,None,30,5,0.6868821723381896,6452.934275227688,60.26450201363561
RandomAverage,30,None,None,30,6,0.7408008397752728,5837.9158802752945,58.21902571132489
RandomAverage,30,None,None,30,7,0.8071520437328519,3685.330543815737,47.96178611119371
