FS_Method,Model,Features_Used,Best_Params,CV_R2,CV_R2_Std,CV_MSE,CV_MSE_Std,CV_MAE,CV_MAE_Std,Test_R2,Test_MSE,Test_MAE,R2_Rank
RFE_RF,RF,5,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.7324835175331961,0.07359431040754517,5121.706539734177,1086.7565455936672,53.67314830109964,5.0246147599292375,0.769966857839577,4863.6156097330495,49.42663915449554,1.0
RF,RF,5,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.7324835175331961,0.07359431040754517,5121.706539734177,1086.7565455936672,53.67314830109964,5.0246147599292375,0.769966857839577,4863.6156097330495,49.42663915449554,1.0
RF,XGB,7,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'random_state': 42, 'subsample': 1.0}",0.6969854036456267,0.07923736988448264,5793.918944705765,1043.5507471083238,57.656160657073556,4.678911551790106,0.7646849359821227,4975.291854964658,53.32113198204403,3.0
RF,RF,6,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.737876754892959,0.071020904166222,5018.097711877709,1045.288568759793,53.222668062073936,5.1877990221015935,0.7619734166072867,5032.621802439571,49.787931095237994,4.0
RFE_RF,RF,6,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.737876754892959,0.071020904166222,5018.097711877709,1045.288568759793,53.222668062073936,5.1877990221015935,0.7619734166072867,5032.621802439571,49.787931095237994,4.0
RF,RF,3,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.7191621031061908,0.08765029705450998,5315.36377548402,1111.2252530560324,54.615964774934206,5.038279300924261,0.7617906192710755,5036.486706294138,50.39032740396559,6.0
XGB,RF,3,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.7191621031061908,0.08765029705450998,5315.36377548402,1111.2252530560324,54.615964774934206,5.038279300924261,0.7617906192710755,5036.486706294138,50.39032740396559,6.0
RF_XGB,RF,3,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.7191621031061908,0.08765029705450998,5315.36377548402,1111.2252530560324,54.615964774934206,5.038279300924261,0.7617906192710755,5036.486706294138,50.39032740396559,6.0
RFE_RF,RF,3,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.7191621031061908,0.08765029705450998,5315.36377548402,1111.2252530560324,54.615964774934206,5.038279300924261,0.7617906192710755,5036.486706294138,50.39032740396559,6.0
RFE_RF,XGB,6,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42, 'subsample': 1.0}",0.7016752823831784,0.06964921085375195,5706.771589826741,856.2015192143248,57.01473677234166,5.148041890274415,0.7555541457011735,5168.34514164564,53.72183954113188,10.0
RF,XGB,6,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42, 'subsample': 1.0}",0.7016752823831784,0.06964921085375195,5706.771589826741,856.2015192143248,57.01473677234166,5.148041890274415,0.7555541457011735,5168.34514164564,53.72183954113188,10.0
