FS_Method,Model,Features_Used,Best_Params,CV_R2,CV_R2_Std,CV_MSE,CV_MSE_Std,CV_MAE,CV_MAE_Std,Test_R2,Test_MSE,Test_MAE,R2_Rank
XGB,XGB,10,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6348687582935633,0.18115122975226772,8609.104247925496,4845.792860991037,67.32957184052661,17.459062212864403,0.8192707825119576,6426.273301689382,68.25280301091016,1.0
RF,XGB,15,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6088478583241608,0.16053263034478524,9429.370757655817,5797.477246496959,69.36694966175057,15.528405474126833,0.8047902409551743,6941.164689444755,68.51880429264844,2.0
RF_XGB,XGB,15,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6720230396676973,0.12200557562297727,8088.913283482938,4763.317399296002,63.632435047570674,15.107273674961633,0.8003193823053705,7100.13710118976,69.45450680729688,3.0
RF_XGB,XGB,10,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.5956926690156047,0.21386806277459935,9177.952883899989,4041.1074230781933,70.64980652455287,13.060622450807871,0.7945013803731564,7307.010516599959,69.29179037162892,4.0
RFE_RF,XGB,15,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6271999613869406,0.13908910197539928,8967.041320355409,4509.8660397892445,66.27600224170305,13.013521604180273,0.7910948656704024,7428.13755289429,71.15348202702344,5.0
XGB,XGB,16,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6614481088102654,0.126490535879243,8154.481102042439,4606.0014622451845,63.34148325863966,14.025166464019085,0.7889580857227257,7504.116036728808,70.7941042804414,6.0
RFE_RF,XGB,25,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.6234472406843595,0.17487524293334214,8929.504936388072,5000.382814796421,64.25259901123836,14.21123090145075,0.7806059602445692,7801.096468109184,68.95814396655078,7.0
RF,XGB,10,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.5818525961407455,0.2052479724447515,9547.317642396793,4680.844681664949,71.74768326496167,15.549916328231811,0.7797539965887819,7831.390138226791,71.10806699621486,8.0
RF,RF,15,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6804733259234392,0.15550854682685838,7339.029198805435,3599.013616791312,61.69068966798682,11.44456812966347,0.77526406355318,7991.0407868274815,67.86241886865974,9.0
RFE_RF,RF,32,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",0.6896957261512899,0.1584448967600619,7040.434770837521,3216.1193889039628,60.52587208819108,10.741504901880498,0.7730231474090595,8070.722090096773,69.21557350358611,10.0
XGB,RF,10,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.6689410087914844,0.1918602368001504,7236.249557342412,3327.7364936924923,62.124559324550034,11.261649963851156,0.7729831478705745,8072.144372391902,69.84985744885859,11.0
RFE_RF,XGB,10,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.613583070432758,0.15069688977590287,9067.140506753467,3986.384475889162,70.10257787442244,13.05200578683887,0.7720274797853098,8106.125509404347,71.46812734672658,12.0
RF,XGB,5,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.6023938243654652,0.17923629117831477,9258.484341953674,4299.248025062365,71.70477687775886,14.204604710001592,0.7717366980923703,8116.464970040152,73.18180629165234,13.0
RF_XGB,RF,15,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.6772705520403861,0.17569764698832271,7226.475680288403,3263.1216945576116,60.54480663178051,10.596531005002936,0.771609555654696,8120.985833152903,65.7487220598543,14.0
XGB,RF,15,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6735488136543902,0.1781787254580347,7288.807181547139,3302.332844293083,61.23859122819143,10.75959345393271,0.7704340755719312,8162.782928152438,69.1916654102485,15.0
RFE_RF,XGB,5,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.6022110960403213,0.17944603820263266,9244.903275507431,4140.813587463027,71.58600476080753,13.503857088409084,0.7688351029014862,8219.638347132448,73.84484645278515,16.0
RF_XGB,RF,25,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6802565657028243,0.15990167878206765,7228.710732116864,3139.3660461849345,61.38864061298061,10.23740710809823,0.7653167690611107,8344.74138879383,70.15879394152795,17.0
RF,RF,25,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6822534983104993,0.15913506560476087,7180.990836011115,3050.3070790219717,61.30862344806043,10.25274662859097,0.7650428734338539,8354.480423695619,69.76726631618985,18.0
RF,RF,20,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.6741872464984527,0.1663458702691707,7317.808858778009,3232.735998913231,61.50031287507677,10.073848985047482,0.7640653425718389,8389.238945684792,68.80919140023903,19.0
RF_XGB,RF,34,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6893541489473858,0.16051112003517842,7066.098288226831,3188.2924436291646,61.047409057890356,10.879053732552103,0.7632517603407983,8418.167869534149,68.84767066716827,20.0
