FS_Method,Model,Features_Used,Fold,R2,MSE,MAE
RF,RF,5,1,0.7719197652710531,8202.516087647991,66.76862012241733
RF,RF,5,2,0.1557024701549119,6188.437155001206,54.77225023052167
RF,RF,5,3,0.7584251783006665,6702.374108992154,63.03272930070443
RF,RF,5,4,0.7994273671975558,7325.271935736053,66.21116984660003
RF,RF,5,5,0.7243521903856732,9209.901671058566,72.48768697182268
RF,RF,5,6,0.6259542344415758,4332.75361588052,57.477900941763686
RF,RF,5,7,0.7275200190105318,11275.952715606181,79.79287778661366
RF,RF,5,8,0.4920298048085313,4319.134232935729,50.95772714258636
RF,RF,5,9,0.6336373679811927,18030.125201640225,93.94765415368168
RF,RF,5,10,0.6339788422076165,7919.355082235145,67.3223580060727
RF,RF,10,1,0.7927017252420269,7455.128392272502,65.71112022423479
RF,RF,10,2,0.12407147630340876,6420.282459151477,57.46865753735647
RF,RF,10,3,0.774421085505481,6258.575564320865,66.23917502067829
RF,RF,10,4,0.7853383084598033,7839.829605596473,66.53925973206526
RF,RF,10,5,0.6767958948867026,10798.845207370852,76.38507210990909
RF,RF,10,6,0.6033660024657135,4594.404068262072,55.566085131590945
RF,RF,10,7,0.7967417423652414,8411.372071530732,71.41091903891821
RF,RF,10,8,0.5885102196730354,3498.7871602259806,46.78743233993635
RF,RF,10,9,0.6788676604919163,15804.167187359742,87.35966444695447
RF,RF,10,10,0.6440223615428371,7702.050169124023,63.312272712199984
RF,RF,15,1,0.7996993515166245,7203.470715047869,61.59536415468698
RF,RF,15,2,0.26945449190762927,5354.670369019749,51.15453171563477
RF,RF,15,3,0.7967210287494049,5639.87465344493,61.187738449987
RF,RF,15,4,0.8291695111745601,6239.035545759746,59.696631618591276
RF,RF,15,5,0.7155499560388412,9504.000553735572,67.15398140675454
RF,RF,15,6,0.6172372097143574,4433.727143411809,55.79927083020455
RF,RF,15,7,0.8063727584265108,8012.81478553945,68.26356395987726
RF,RF,15,8,0.6437389108984448,3029.1924218536037,44.31234370644546
RF,RF,15,9,0.6588633218877602,16788.658230077282,89.49240681018635
RF,RF,15,10,0.6679267189202593,7184.8475701643365,58.2510640275
RF,RF,20,1,0.8262278264791593,6249.419422880634,57.28722183499566
RF,RF,20,2,0.23278543355262682,5623.44311220738,52.0369973951043
RF,RF,20,3,0.8085951948262619,5310.431780551282,60.279712926756545
RF,RF,20,4,0.8023666391970823,7217.924455729482,62.09518562775219
RF,RF,20,5,0.7201586591637094,9350.01528292742,67.35904550287272
RF,RF,20,6,0.609175039846516,4527.115169325116,55.878551209795454
RF,RF,20,7,0.7893176259132544,8718.601930266646,70.5787162964136
RF,RF,20,8,0.608438595137117,3329.34153233581,46.899906230172725
RF,RF,20,9,0.6854022777782123,15482.573341482273,84.56659998359083
RF,RF,20,10,0.6594051730905874,7369.222560074049,58.02119174331365
RF,RF,25,1,0.8112346463512046,6788.623538268823,61.303346420217366
RF,RF,25,2,0.25335842244658935,5472.649530134264,50.96430935613908
RF,RF,25,3,0.8112012141680689,5238.129061082449,60.48788247978696
RF,RF,25,4,0.8151546799812543,6750.882292696148,59.992154586960844
RF,RF,25,5,0.7192692332654702,9379.732642473777,67.3109037287909
RF,RF,25,6,0.6240032820236758,4355.352444476929,55.16222469671365
RF,RF,25,7,0.7851325971295627,8891.789650358942,73.20388870459543
RF,RF,25,8,0.63808873705604,3077.2343335558658,45.22372028865456
RF,RF,25,9,0.7056141610003028,14487.868223640135,82.49160661449997
RF,RF,25,10,0.6594780096828243,7367.646643423814,56.94619760424548
RF,RF,30,1,0.808963324687603,6870.307742549197,61.68421881677391
RF,RF,30,2,0.24509409658073422,5533.224457149246,50.73262267464779
RF,RF,30,3,0.8194060906996212,5010.488814281409,59.81997657146962
RF,RF,30,4,0.8084431867781743,6995.998050117701,61.28187230423044
RF,RF,30,5,0.7189915050370059,9389.01205477534,66.65120804753634
RF,RF,30,6,0.6450298733739392,4111.791233279989,54.12666600145913
RF,RF,30,7,0.7923800469337363,8591.870731531108,70.79327224442723
RF,RF,30,8,0.6415663772316966,3047.6648925242916,44.507034424740894
RF,RF,30,9,0.7080428193318911,14368.344533275626,82.1634290368318
RF,RF,30,10,0.6813487633180724,6894.443769037359,56.03056472699097
RF,XGB,5,1,0.7927033258205742,7455.070830198787,68.6780467849932
RF,XGB,5,2,0.1284680628902204,6388.056852860768,58.345944492133995
RF,XGB,5,3,0.5746227089424107,11801.882837301795,81.19549495617274
RF,XGB,5,4,0.7921970950005239,7589.334431564273,69.83460537499575
RF,XGB,5,5,0.7234669416417399,9239.479464176027,72.86636728114992
RF,XGB,5,6,0.5328687984154523,5411.007392997549,65.35510357338867
RF,XGB,5,7,0.6504807583460936,14464.044029114604,92.20200113415304
RF,XGB,5,8,0.5769134979665961,3597.390972391046,45.3195862294327
RF,XGB,5,9,0.6207313933868244,18665.278237045055,95.44017675085503
RF,XGB,5,10,0.6314856612442153,7973.298371886838,67.81044220031339
RF,XGB,10,1,0.8206386447268162,6450.424798444479,61.29330460334409
RF,XGB,10,2,0.04465085286573567,7002.410819807979,55.934317989532325
RF,XGB,10,3,0.6728214531964043,9077.407180469205,77.63914343929773
RF,XGB,10,4,0.7681037299792604,8469.267292601915,65.743310294803
RF,XGB,10,5,0.6532640608623304,11585.087179717271,82.41228817647087
RF,XGB,10,6,0.5007405441245152,5783.164553347073,63.02295883145864
RF,XGB,10,7,0.6772991313840304,13354.22779532328,95.56819982405005
RF,XGB,10,8,0.4852264816175631,4376.9810640490405,52.092638445585045
RF,XGB,10,9,0.5658113010051786,21368.108862183395,99.7563207908597
RF,XGB,10,10,0.6299697616456207,8006.096878024285,64.0143502542152
RF,XGB,15,1,0.8545563258752216,5230.633326350733,56.9386917723828
RF,XGB,15,2,0.27353510066356146,5324.760781525319,56.85501877524265
RF,XGB,15,3,0.7368487656142849,7301.001021916551,71.32137882294411
RF,XGB,15,4,0.6890326349382078,11357.085362989643,72.43829523075536
RF,XGB,15,5,0.7059974951293377,9823.165889445116,75.51519551746982
RF,XGB,15,6,0.5103312811773157,5672.070391961651,63.074756709903234
RF,XGB,15,7,0.7471576647023432,10463.294246302887,79.76682812219015
RF,XGB,15,8,0.5535713209239579,3795.8632388556243,47.02031534198108
RF,XGB,15,9,0.48991062806771213,25103.47518055021,106.46411513042655
RF,XGB,15,10,0.5275373661496656,10222.358136660443,64.27490119420987
RF,XGB,20,1,0.876695151592152,4434.4482719089665,52.73977948619904
RF,XGB,20,2,0.34740578352513274,4783.311751620262,48.80775299869608
RF,XGB,20,3,0.7234005063323901,7674.116333305121,69.25350583711618
RF,XGB,20,4,0.707332611135832,10688.737442378108,67.3962940964674
RF,XGB,20,5,0.684312607028382,10547.697992338088,75.84258042982334
RF,XGB,20,6,0.5886245263550163,4765.161739657401,58.39425970911755
RF,XGB,20,7,0.7760936032624279,9265.847469477796,70.72131772073418
RF,XGB,20,8,0.5009100551464672,4243.627847729092,51.92757952197487
RF,XGB,20,9,0.470104775202992,26078.197970667727,106.38854299082473
RF,XGB,20,10,0.6330166185453814,7940.174072305906,60.6879089931401
RF,XGB,21,1,0.8581017059490172,5103.129787402275,57.35361833427777
RF,XGB,21,2,0.40158445387853514,4386.199022076832,44.083467286739555
RF,XGB,21,3,0.7032289043067279,8233.767468314383,70.07942066059275
RF,XGB,21,4,0.7116067211566802,10532.639286071779,67.55191937048235
RF,XGB,21,5,0.7081037772451665,9752.791119533345,73.64333236822887
RF,XGB,21,6,0.6002771599728718,4630.183629781142,58.13462343703392
RF,XGB,21,7,0.7967909634040646,8409.335172877229,69.32179856299271
RF,XGB,21,8,0.5442177081729569,3875.3944976123403,50.21001003582208
RF,XGB,21,9,0.5711927521853386,21103.266790244637,97.80156609058281
RF,XGB,21,10,0.6394503142014949,7800.972500738021,59.83180371725231
RFE_RF,RF,5,1,0.7875980394228161,7638.673735814117,64.22432425615649
RFE_RF,RF,5,2,0.14552927837913587,6263.003472850929,54.91799185109557
RFE_RF,RF,5,3,0.7540839369090702,6822.819707168498,64.79237674514354
RFE_RF,RF,5,4,0.796958560491072,7415.437180261588,66.78835591245655
RFE_RF,RF,5,5,0.7162014570325024,9482.232704034132,74.11264005860448
RFE_RF,RF,5,6,0.6152109379094093,4457.198433018681,58.39185904563638
RFE_RF,RF,5,7,0.7343620363015819,10992.811682004072,78.66596483205456
RFE_RF,RF,5,8,0.5136341534856341,4135.438254638454,49.51054421960453
RFE_RF,RF,5,9,0.6488867407511972,17279.64445862725,92.28137856541808
RFE_RF,RF,5,10,0.6251721538359589,8109.89951068949,67.83518235564999
