Dataset,Method,Top_K,Meta_Model,FS_Method,Best_n,CV_R2,CV_R2_Std,CV_MSE,CV_MSE_Std,CV_MAE,CV_MAE_Std,Test_R2,Test_MSE,Test_MAE,Selected_Features
PRF_LiDAR_702,TopKAverage,10,None,None,10,0.7098935940882211,0.15050960710845196,6824.377743136049,2869.29029321427,59.41060963368382,10.863679605430892,0.8552459504698088,5147.087431332663,59.93932069304743,"pred_RFE_RF_RF_Top74,pred_XGB_RF_Top185,pred_XGB_RF_Top70,pred_RFE_RF_RF_Top70,pred_RF_RF_Top103..."
PRF_LiDAR_702,TopKAverage,22,None,None,22,0.7046762311810173,0.14623987955593898,7013.891409653677,2825.6609719497333,60.81021655475821,11.055824428662454,0.854590576005506,5170.390887636493,61.09269273704791,"pred_RFE_RF_RF_Top74,pred_XGB_RF_Top185,pred_XGB_RF_Top70,pred_RFE_RF_RF_Top70,pred_RF_RF_Top103..."
PRF_LiDAR_702,RandomAverage,22,None,None,22,0.7046762311810173,0.14623987955593898,7013.891409653677,2825.6609719497333,60.81021655475821,11.055824428662447,0.8545905760055059,5170.390887636495,61.092692737047926,"pred_RF_XGB_XGB_Top10,pred_RF_XGB_Top10,pred_RF_RF_Top10,pred_RFE_RF_RF_Top74,pred_RFE_RF_RF_Top70..."
PRF_LiDAR_702,RandomAverage,10,None,None,10,0.7005181709588302,0.1486647488866579,7128.313053798696,2855.4536919714137,61.495838811266296,11.081480837620484,0.8543716321100171,5178.175978114415,61.78440034122102,"pred_RF_XGB_XGB_Top10,pred_RF_XGB_Top10,pred_RF_RF_Top10,pred_RFE_RF_RF_Top74,pred_RFE_RF_RF_Top70..."
PRF_LiDAR_702,FS_MetaModel,10,LinearRegression,XGB,7,0.702289529349045,0.1373278970389378,7300.568300697074,3201.6219302784093,60.95592192822674,10.823446319880425,0.8540242757597656,5190.527090296601,59.462564943440704,"pred_RF_XGB_RF_Top10,pred_XGB_RF_Top70,pred_XGB_RF_Top185,pred_RF_RF_Top103,pred_XGB_XGB_Top49..."
PRF_LiDAR_702,RandomAverage,20,None,None,20,0.7052427982616674,0.14765599904182167,6991.143228121371,2854.9876573432457,60.786428694759955,11.165497304481837,0.8536317450693488,5204.484487617186,61.00656094795272,"pred_RF_XGB_XGB_Top10,pred_RF_XGB_Top10,pred_RF_RF_Top10,pred_RFE_RF_RF_Top74,pred_RFE_RF_RF_Top70..."
PRF_LiDAR_702,TopKAverage,20,None,None,20,0.7064454139985832,0.14682999013192702,6959.296964654612,2838.9439027562744,60.581784342880255,11.054250764524243,0.8521684862371539,5256.514266185874,61.43892903795271,"pred_RFE_RF_RF_Top74,pred_XGB_RF_Top185,pred_XGB_RF_Top70,pred_RFE_RF_RF_Top70,pred_RF_RF_Top103..."
PRF_LiDAR_702,FS_MetaModel,20,LinearRegression,XGB,6,0.6912106961562221,0.14994936325264174,7468.6399222031305,3283.6398661891326,61.36991841371887,10.866758591685404,0.8502435257375325,5324.960986851515,60.98679005172514,"pred_RF_XGB_RF_Top10,pred_XGB_RF_Top70,pred_RF_RF_Top10,pred_XGB_RF_Top10,pred_RFE_RF_XGB_Top42..."
PRF_LiDAR_702,FS_MetaModel,22,LinearRegression,XGB,6,0.6906473249457081,0.14720229726702694,7468.166709031684,3043.3451929030284,61.78847911356005,10.42644894676852,0.8502435257375325,5324.960986851515,60.98679005172514,"pred_RF_XGB_RF_Top10,pred_XGB_RF_Top70,pred_RF_RF_Top10,pred_XGB_RF_Top10,pred_RFE_RF_XGB_Top42..."
PRF_LiDAR_702,FS_MetaModel,20,LinearRegression,RF_XGB,8,0.6952413110091589,0.1430078873916504,7472.8772135830395,3326.7352870003274,61.67560650816104,11.509405370791615,0.8388515443101557,5730.030997764036,62.465639039302424,"pred_RF_XGB_RF_Top10,pred_XGB_RF_Top70,pred_RF_RF_Top10,pred_XGB_RF_Top10,pred_XGB_XGB_Top49..."
PRF_LiDAR_702,FS_MetaModel,22,LinearRegression,RF_XGB,7,0.6924392609558148,0.1442800858974469,7460.873262629686,3181.070840563005,61.77020249857227,11.050918903182081,0.8380074551055601,5760.044672338245,62.68417881067242,"pred_RF_XGB_RF_Top10,pred_XGB_RF_Top70,pred_RF_RF_Top10,pred_XGB_RF_Top10,pred_XGB_XGB_Top49..."
PRF_LiDAR_702,FS_MetaModel,10,LinearRegression,RF,2,0.7074771689783619,0.12141560737585498,7317.816076686422,3063.795317985057,61.3565848863487,10.150456520406538,0.8300985814212881,6041.264192403023,64.34416930788447,"pred_RF_XGB_RF_Top10,pred_XGB_XGB_Top49"
PRF_LiDAR_702,FS_MetaModel,20,LinearRegression,RF,3,0.7050293529658088,0.12481407567321658,7413.164735628246,3256.0318651544508,61.182396745899005,10.555561643582138,0.8293360850320273,6068.376633086645,64.49239861661978,"pred_XGB_XGB_Top49,pred_RF_XGB_XGB_Top20,pred_RF_XGB_RF_Top10"
PRF_LiDAR_702,FS_MetaModel,22,LinearRegression,RFE_RF,7,0.6917666412961626,0.13394272435267351,7493.381902528883,2908.369822108239,62.666753106800215,9.851462568508298,0.8232424434224288,6285.051097404606,66.24561704556821,"pred_XGB_RF_Top130,pred_RF_XGB_RF_Top111,pred_XGB_XGB_Top49,pred_RF_XGB_RF_Top10,pred_XGB_RF_Top10..."
PRF_LiDAR_702,FS_MetaModel,20,LinearRegression,RFE_RF,7,0.6957587448617355,0.13632771933182422,7336.944958056821,2877.01752597809,62.249350237361725,10.13108054831676,0.8232424434224288,6285.051097404606,66.24561704556821,"pred_XGB_RF_Top130,pred_RF_XGB_RF_Top111,pred_XGB_XGB_Top49,pred_RF_XGB_RF_Top10,pred_XGB_RF_Top10..."
PRF_LiDAR_702,FS_MetaModel,22,LinearRegression,RF,5,0.6940390033182331,0.13719844823860788,7533.614636231269,3163.703077360035,62.03524566290629,10.979526463094707,0.8207607422630735,6373.294106060313,65.27342952718242,"pred_XGB_XGB_Top49,pred_RF_XGB_XGB_Top20,pred_RF_XGB_RF_Top10,pred_XGB_RF_Top10,pred_RFE_RF_XGB_Top42"
PRF_LiDAR_702,FS_MetaModel,10,LinearRegression,RFE_RF,7,0.7050967174799743,0.13271358153654686,7191.023539226544,3037.5353432650068,61.0670131958759,10.349696725751537,0.80937140090357,6778.270242844876,68.11544064297759,"pred_XGB_RF_Top185,pred_XGB_RF_Top70,pred_XGB_RF_Top130,pred_RF_XGB_RF_Top111,pred_XGB_XGB_Top49..."
PRF_LiDAR_702,FS_MetaModel,10,LinearRegression,RF_XGB,8,0.7026548424727855,0.1340014176639288,7218.475321784096,2985.3868338091434,61.55264926036193,9.836650372627343,0.8077484369784976,6835.978730084839,68.61359763830052,"pred_RF_XGB_RF_Top10,pred_XGB_RF_Top70,pred_XGB_XGB_Top49,pred_XGB_RF_Top185,pred_XGB_RF_Top130..."
