Method,Top_K,Meta_Model,FS_Method,Best_n,Fold,R2,MSE,MAE
RandomAverage,10,None,None,10,1,0.5984702173288565,6368.488598766946,57.590451518036616
RandomAverage,10,None,None,10,2,0.4006002564823743,14049.786437104209,85.10420373744265
RandomAverage,10,None,None,10,3,0.8486426208809121,7370.112080016968,61.010383576226
RandomAverage,10,None,None,10,4,0.6253104318434365,7032.144396838225,63.225049355428936
RandomAverage,10,None,None,10,5,0.7746801679592794,6845.93780957042,68.77710512982352
RandomAverage,10,None,None,10,6,0.783844355494548,10256.979898804095,72.22970740093025
RandomAverage,10,None,None,10,7,0.7148153072529604,3933.457623300359,47.192719009199976
RandomAverage,10,None,None,10,8,0.5350617926144534,5944.0500092755565,57.98800478985721
RandomAverage,10,None,None,10,9,0.8837052482931779,4974.266531328059,55.57666268907414
RandomAverage,10,None,None,10,10,0.8400513114383025,4507.9071529821185,46.26410090664364
TopKAverage,10,None,None,10,1,0.6211089843895778,6009.424997165007,55.20129809277184
TopKAverage,10,None,None,10,2,0.3827629038579117,14467.88971073307,84.25826853144306
TopKAverage,10,None,None,10,3,0.8594369306336385,6844.499961420361,57.15358255115477
TopKAverage,10,None,None,10,4,0.594113766212728,7617.640968024734,68.03364821689175
TopKAverage,10,None,None,10,5,0.7982358564060957,6130.240586170319,64.75797342568002
TopKAverage,10,None,None,10,6,0.8199944749579634,8541.590742421155,66.35221700268899
TopKAverage,10,None,None,10,7,0.6834170189460587,4366.5237718012295,48.425808390511584
TopKAverage,10,None,None,10,8,0.6221411294948072,4830.775331115676,50.77162355027452
TopKAverage,10,None,None,10,9,0.8985773508104195,4338.143226396021,49.795289355239696
TopKAverage,10,None,None,10,10,0.8191475251730103,5097.048136112917,49.356387220181894
FS_MetaModel,10,LinearRegression,RF,2,1,0.6808534861796085,5061.843535193007,51.28232816712213
FS_MetaModel,10,LinearRegression,RF,2,2,0.4275067436212856,13419.104822434349,82.80551741079341
FS_MetaModel,10,LinearRegression,RF,2,3,0.7604274663940961,11665.61177423606,67.79682887796832
FS_MetaModel,10,LinearRegression,RF,2,4,0.6815638644484272,5976.384390381871,62.611359998841984
FS_MetaModel,10,LinearRegression,RF,2,5,0.7992886481063316,6098.253404034732,64.42999214480335
FS_MetaModel,10,LinearRegression,RF,2,6,0.7817677679696664,10355.517767429043,72.01727789665735
FS_MetaModel,10,LinearRegression,RF,2,7,0.67835500024951,4436.342512209187,49.8810902233299
FS_MetaModel,10,LinearRegression,RF,2,8,0.5949832146798033,5177.978467454535,51.34510415449131
FS_MetaModel,10,LinearRegression,RF,2,9,0.8843479524993901,4946.776193410102,53.87184250249775
FS_MetaModel,10,LinearRegression,RF,2,10,0.7856775456354996,6040.347900081345,57.5245074869814
FS_MetaModel,10,LinearRegression,RFE_RF,7,1,0.6657855545536981,5300.829420942862,54.59376290738502
FS_MetaModel,10,LinearRegression,RFE_RF,7,2,0.42219331644492597,13543.6502829293,83.47612732681151
FS_MetaModel,10,LinearRegression,RFE_RF,7,3,0.8059967752463866,9446.685180732858,60.42008436515253
FS_MetaModel,10,LinearRegression,RFE_RF,7,4,0.6651103105617435,6285.183397895127,63.929477069230195
FS_MetaModel,10,LinearRegression,RFE_RF,7,5,0.8148487492828401,5625.487718030894,62.40668119032657
FS_MetaModel,10,LinearRegression,RFE_RF,7,6,0.7548088084124537,11634.7696088679,75.73682205295319
FS_MetaModel,10,LinearRegression,RFE_RF,7,7,0.6120378910606097,5351.032344197127,52.45803232586288
FS_MetaModel,10,LinearRegression,RFE_RF,7,8,0.6035405758745425,5068.576009061212,54.23408611158467
FS_MetaModel,10,LinearRegression,RFE_RF,7,9,0.9049815403754867,4064.217315327361,50.052639948018765
FS_MetaModel,10,LinearRegression,RFE_RF,7,10,0.8016636529870553,5589.8041142808115,53.36241866143376
FS_MetaModel,10,LinearRegression,XGB,7,1,0.6657855545536985,5300.829420942858,54.593762907385
FS_MetaModel,10,LinearRegression,XGB,7,2,0.3889278177659342,14323.385605171497,82.27807107191649
FS_MetaModel,10,LinearRegression,XGB,7,3,0.803182020701817,9583.745273818198,60.674521437265
FS_MetaModel,10,LinearRegression,XGB,7,4,0.6641349592916992,6303.488713952729,62.992926361682706
FS_MetaModel,10,LinearRegression,XGB,7,5,0.7808706118232772,6657.852307629754,68.42896023234456
FS_MetaModel,10,LinearRegression,XGB,7,6,0.7588278250520218,11444.059933072365,75.24971838956218
FS_MetaModel,10,LinearRegression,XGB,7,7,0.6624927134533758,4655.125758673871,49.24363987454242
FS_MetaModel,10,LinearRegression,XGB,7,8,0.585078684699929,5304.603942804901,53.3433096899763
FS_MetaModel,10,LinearRegression,XGB,7,9,0.9067332702914609,3989.290705441104,47.29448898480728
FS_MetaModel,10,LinearRegression,XGB,7,10,0.8068618358572356,5443.301345463448,55.4598203327856
FS_MetaModel,10,LinearRegression,RF_XGB,8,1,0.6681916329786931,5262.667661395702,54.52372455662335
FS_MetaModel,10,LinearRegression,RF_XGB,8,2,0.42728890893298843,13424.21081535855,82.36453533458042
FS_MetaModel,10,LinearRegression,RF_XGB,8,3,0.803155248703209,9585.048894635996,60.95518181625231
FS_MetaModel,10,LinearRegression,RF_XGB,8,4,0.6560286880433353,6455.62657628738,64.36560552238872
FS_MetaModel,10,LinearRegression,RF_XGB,8,5,0.8091979996319129,5797.175582065465,63.82338511990803
FS_MetaModel,10,LinearRegression,RF_XGB,8,6,0.7579538249718425,11485.532832262497,75.45062356766796
FS_MetaModel,10,LinearRegression,RF_XGB,8,7,0.6146895062381458,5314.459497899975,53.86372547958606
FS_MetaModel,10,LinearRegression,RF_XGB,8,8,0.5769947663254611,5407.953623096701,54.99368252147662
FS_MetaModel,10,LinearRegression,RF_XGB,8,9,0.9064548445827544,4001.1997870114515,49.78346008093545
FS_MetaModel,10,LinearRegression,RF_XGB,8,10,0.8065930043195143,5450.8779478272345,55.40256860420038
