FS_Method,Model,Features_Used,Best_Params,CV_R2,CV_R2_Std,CV_MSE,CV_MSE_Std,CV_MAE,CV_MAE_Std,Test_R2,Test_MSE,Test_MAE,R2_Rank
RF_XGB,RF,70,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.6789335241917103,0.19418775173428324,7287.679708775266,3224.5493632679554,62.62736368733691,12.041699709803058,0.8697939609150837,4629.797020758328,56.258925578045385,1.0
RFE_RF,RF,74,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.7051293707186947,0.18008107649534116,6884.703951506068,3440.371016536674,59.66526474542991,12.829126979608855,0.8664912621877111,4747.232623867945,58.92011683465509,2.0
RF,XGB,70,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.614923810571715,0.2519448590982216,8619.632530404748,3861.1919530269447,64.4863270429034,11.988941971770068,0.8573836501674226,5071.076243519525,63.69940057654687,3.0
RFE_RF,RF,70,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6989890407501951,0.19109318174843085,6960.952139822419,3430.491300917841,59.96397797467374,12.885448848566076,0.8557157667650389,5130.38195362021,61.19015017255232,4.0
XGB,RF,70,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.7010975622775272,0.1718831307842124,7016.593576579811,3280.1098333514337,59.7432929156878,12.185144126232723,0.8514523312718691,5281.978923186263,60.95459677840418,5.0
RF_XGB,RF,111,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6931561664056685,0.18304790108667052,7148.78966063166,3487.782279085695,60.459483346599846,12.751548495789287,0.8504776997114867,5316.634353351475,60.633544743391646,6.0
XGB,RF,185,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.7037868602882048,0.17141333595488553,6894.881865149737,3219.4854517271074,59.17625758766509,12.256142248922865,0.8504214425821905,5318.63471440571,60.74734584525959,7.0
RF,RF,70,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200, 'random_state': 42}",0.6733914885151263,0.191810075436727,7477.143166385567,3392.4221873739434,62.57765124599903,12.13832755669908,0.8499883062618845,5334.035945096918,62.119839200355784,8.0
XGB,RF,130,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.695022656113078,0.19515124698414224,6971.606199038882,3323.451655890509,59.539102236226014,11.99408112505431,0.8468292325510465,5446.364606329403,61.27988963419589,9.0
RF_XGB,XGB,20,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6430120696815389,0.2087099835032241,8005.773155612236,3155.218799631753,66.94972911824347,12.005101998257672,0.8457570385233316,5484.489110769262,62.382031562398446,10.0
