Stage,Model,Mean_R2,Std_R2,CV_Percent,Min_R2,Max_R2,Range_R2
Stage 1,RF_XGB_RF_Top70,0.6789335241917103,0.2046918630625491,30.149028700010156,0.1127433273672308,0.8270307953063112,0.7142874679390804
Stage 1,RFE_RF_RF_Top74,0.7051293707186947,0.18982212174009683,26.92018367446854,0.1776297068029972,0.8457420006013314,0.6681122937983343
Stage 1,RF_XGB_Top70,0.614923810571715,0.2655731998401921,43.18798447457742,-0.113428395446294,0.7945406576342302,0.9079690530805242
Stage 1,RFE_RF_RF_Top70,0.6989890407501951,0.2014298998845196,28.817318747706473,0.1377246837615352,0.8425969421109565,0.7048722583494212
Stage 1,XGB_RF_Top70,0.7010975622775272,0.1811807282129049,25.842441617445687,0.1982121421651338,0.8381395572718163,0.6399274151066825
Stage 2,TopKAverage_TopK10,0.7098935940882211,0.15865105606659252,22.348568487980522,0.3827629038579117,0.8985773508104195,0.5158144469525078
Stage 2,TopKAverage_TopK22,0.7046762311810173,0.1541503680484868,21.87534660990838,0.4067700810076907,0.8926622164634733,0.48589213545578264
Stage 2,RandomAverage_TopK22,0.7046762311810173,0.15415036804848678,21.875346609908377,0.4067700810076907,0.8926622164634733,0.48589213545578264
Stage 2,RandomAverage_TopK10,0.7005181709588302,0.15670640475294006,22.370069935295053,0.4006002564823743,0.8837052482931779,0.4831049918108036
Stage 2,FS_MetaModel_TopK10,0.702289529349045,0.14475631364137878,20.612056365919905,0.3889278177659342,0.9067332702914608,0.5178054525255266
