Dataset,Method,Top_K,Meta_Model,FS_Method,Best_n,R2,MSE,MAE,Selected_Features
prf2000_mean_raw_Aug_9input_PMinMax,RandomAverage,10,None,None,10,0.7614581298477994,5043.516566139245,51.66579467698234,"['pred_RF_XGB_RF_Top7', 'pred_XGB_RF_Top5', 'pred_RF_XGB_Top5', 'pred_RF_XGB_RF_Top5', 'pred_RFE_RF_XGB_Top5', 'pred_RF_RF_Top6', 'pred_XGB_XGB_Top6', 'pred_RFE_RF_RF_Top6', 'pred_RFE_RF_XGB_Top8', 'pred_XGB_RF_Top7']"
prf2000_mean_raw_Aug_9input_PMinMax,TopKAverage,10,None,None,10,0.7661922934367387,4943.421633235458,50.797072826376535,"['pred_XGB_RF_Top7', 'pred_RF_XGB_RF_Top7', 'pred_RF_RF_Top6', 'pred_RFE_RF_RF_Top6', 'pred_RF_RF_Top5', 'pred_RFE_RF_RF_Top5', 'pred_XGB_RF_Top5', 'pred_RF_XGB_RF_Top5', 'pred_XGB_XGB_Top6', 'pred_RF_XGB_XGB_Top6']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,10,LinearRegression,RF,9,0.762961712642994,5011.726152442532,50.769837349262566,"['pred_XGB_RF_Top7', 'pred_RF_RF_Top5', 'pred_RF_XGB_RF_Top7', 'pred_RF_XGB_RF_Top5', 'pred_XGB_RF_Top5', 'pred_RF_RF_Top6', 'pred_RFE_RF_RF_Top5', 'pred_RFE_RF_RF_Top6', 'pred_RF_XGB_XGB_Top6']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,10,RandomForest,RF,10,0.6979433852644293,6386.415681904286,57.888459042857164,"['pred_XGB_RF_Top7', 'pred_RF_RF_Top5', 'pred_RF_XGB_RF_Top7', 'pred_RF_XGB_RF_Top5', 'pred_XGB_RF_Top5', 'pred_RF_RF_Top6', 'pred_RFE_RF_RF_Top5', 'pred_RFE_RF_RF_Top6', 'pred_RF_XGB_XGB_Top6', 'pred_XGB_XGB_Top6']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,10,XGBoost,RF,9,0.6372032366383923,7670.651215187044,62.5218728132266,"['pred_XGB_RF_Top7', 'pred_RF_RF_Top5', 'pred_RF_XGB_RF_Top7', 'pred_RF_XGB_RF_Top5', 'pred_XGB_RF_Top5', 'pred_RF_RF_Top6', 'pred_RFE_RF_RF_Top5', 'pred_RFE_RF_RF_Top6', 'pred_RF_XGB_XGB_Top6']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,10,LinearRegression,RFE_RF,5,0.762961712642994,5011.726152442533,50.769837349262595,"['pred_XGB_RF_Top7', 'pred_RF_RF_Top6', 'pred_RFE_RF_RF_Top5', 'pred_XGB_RF_Top5', 'pred_RF_XGB_XGB_Top6']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,10,RandomForest,RFE_RF,5,0.7008635322407659,6324.674698481466,57.685109258730165,"['pred_XGB_RF_Top7', 'pred_RF_RF_Top6', 'pred_RFE_RF_RF_Top5', 'pred_XGB_RF_Top5', 'pred_RF_XGB_XGB_Top6']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,10,XGBoost,RFE_RF,5,0.6425075075169732,7558.5024421840335,62.01714330786326,"['pred_XGB_RF_Top7', 'pred_RF_RF_Top6', 'pred_RFE_RF_RF_Top5', 'pred_XGB_RF_Top5', 'pred_RF_XGB_XGB_Top6']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,10,LinearRegression,XGB,5,0.762961712642994,5011.726152442533,50.76983734926257,"['pred_RF_RF_Top5', 'pred_XGB_RF_Top7', 'pred_XGB_RF_Top5', 'pred_RF_RF_Top6', 'pred_XGB_XGB_Top6']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,10,RandomForest,XGB,7,0.7018221381066017,6304.406790957913,57.86391541111113,"['pred_RF_RF_Top5', 'pred_XGB_RF_Top7', 'pred_XGB_RF_Top5', 'pred_RF_RF_Top6', 'pred_XGB_XGB_Top6', 'pred_RF_XGB_XGB_Top6', 'pred_RF_XGB_RF_Top5']"
