FS_Method,Model,Features_Used,Best_Params,CV_R2,CV_MSE,CV_MAE,Test_R2,Test_MSE,Test_MAE,R2_Rank
RF,RF,5,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.7324835175331961,5120.642031108308,53.67056214830661,0.769966857839577,4863.6156097330495,49.42663915449554,1.0
RFE_RF,RF,5,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.7324835175331961,5120.642031108308,53.67056214830661,0.769966857839577,4863.6156097330495,49.42663915449554,1.0
RF,RF,6,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.737876754892959,5017.114540468555,53.218960404456325,0.7619734166072867,5032.621802439571,49.787931095237994,3.0
RFE_RF,RF,6,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.737876754892959,5017.114540468555,53.218960404456325,0.7619734166072867,5032.621802439571,49.787931095237994,3.0
XGB,XGB,6,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.7091244537375121,5541.510312633662,55.02180151093998,0.7542181460144619,5196.592327550521,53.29882213223895,5.0
RF_XGB,XGB,6,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.7091244537375121,5541.510312633662,55.02180151093998,0.7542181460144619,5196.592327550521,53.29882213223895,5.0
XGB,RF,7,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.7392182666021417,4978.956836690235,53.177877241711236,0.7511642241251418,5261.161728430347,51.92806164126981,7.0
RF_XGB,RF,7,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.7392182666021417,4978.956836690235,53.177877241711236,0.7511642241251418,5261.161728430347,51.92806164126981,7.0
XGB,RF,5,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.7304977414156323,5116.393881326926,53.89792646399288,0.7476125813826978,5336.254495151324,52.94401803729269,9.0
RF_XGB,RF,5,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.7304977414156323,5116.393881326926,53.89792646399288,0.7476125813826978,5336.254495151324,52.94401803729269,9.0
RFE_RF,XGB,8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.7038234740735599,5686.571158798082,57.181854646636566,0.7444193077631154,5403.770224739187,55.32596499273391,11.0
RF,XGB,5,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.6767021651954146,6185.4900904786155,58.359953519951965,0.7378632524481077,5542.385611499881,53.58796181602841,12.0
RFE_RF,XGB,5,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.6767021651954146,6185.4900904786155,58.359953519951965,0.7378632524481077,5542.385611499881,53.58796181602841,12.0
XGB,XGB,5,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.6992765663894518,5716.899793872706,56.833601814805114,0.7245701880842734,5823.442309391016,53.37881433951725,14.0
RF_XGB,XGB,5,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.6992765663894518,5716.899793872706,56.833601814805114,0.7245701880842734,5823.442309391016,53.37881433951725,14.0
RF,XGB,8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.7036039765138697,5690.8538038980305,57.21497651042503,0.7034269262252038,6270.47658215998,58.92087743121555,16.0
