Dataset,Method,Top_K,Meta_Model,FS_Method,Best_n,R2,MSE,MAE,Selected_Features
prf2000_mean_raw_Aug_9input_PMinMax,RandomAverage,10,None,None,10,0.7523424857629658,5236.249615157236,54.68874976211803,"['pred_XGB_RF_Top1', 'pred_RF_RF_Top5', 'pred_XGB_RF_Top5', 'pred_XGB_XGB_Top3', 'pred_RF_RF_Top4', 'pred_RF_XGB_Top3', 'pred_RF_XGB_RF_Top1', 'pred_RFE_RF_XGB_Top5', 'pred_RF_RF_Top2', 'pred_RFE_RF_XGB_Top2']"
prf2000_mean_raw_Aug_9input_PMinMax,TopKAverage,10,None,None,10,0.7581663883350667,5113.114213044264,51.0229044635917,"['pred_RF_XGB_RF_Top7', 'pred_XGB_RF_Top7', 'pred_RF_RF_Top6', 'pred_RFE_RF_RF_Top6', 'pred_XGB_RF_Top6', 'pred_RF_XGB_RF_Top6', 'pred_RF_RF_Top5', 'pred_RFE_RF_RF_Top5', 'pred_XGB_RF_Top5', 'pred_RF_XGB_RF_Top5']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,10,LinearRegression,RF,7,0.7543111098401352,5194.626783327465,51.20960544366442,"['pred_RF_XGB_RF_Top7', 'pred_XGB_RF_Top7', 'pred_XGB_RF_Top5', 'pred_RFE_RF_RF_Top5', 'pred_RF_RF_Top5', 'pred_RF_RF_Top6', 'pred_RF_XGB_RF_Top5']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,10,RandomForest,RF,9,0.6957948319865865,6431.842776288676,57.63810494444446,"['pred_RF_XGB_RF_Top7', 'pred_XGB_RF_Top7', 'pred_XGB_RF_Top5', 'pred_RFE_RF_RF_Top5', 'pred_RF_RF_Top5', 'pred_RF_RF_Top6', 'pred_RF_XGB_RF_Top5', 'pred_RFE_RF_RF_Top6', 'pred_RF_XGB_RF_Top6']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,10,XGBoost,RF,2,0.6238020407190581,7953.9941502538095,62.38180209217373,"['pred_RF_XGB_RF_Top7', 'pred_XGB_RF_Top7']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,10,LinearRegression,RFE_RF,2,0.7546265612069472,5187.957160953361,51.42239673013726,"['pred_RF_XGB_RF_Top7', 'pred_RFE_RF_RF_Top5']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,10,RandomForest,RFE_RF,8,0.6970103512052178,6406.142921954022,57.537023920634944,"['pred_RF_XGB_RF_Top7', 'pred_XGB_RF_Top7', 'pred_RF_RF_Top6', 'pred_RF_XGB_RF_Top6', 'pred_RF_RF_Top5', 'pred_RFE_RF_RF_Top5', 'pred_XGB_RF_Top5', 'pred_RF_XGB_RF_Top5']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,10,XGBoost,RFE_RF,4,0.6132480992570767,8177.137276312159,66.06046425438956,"['pred_RF_XGB_RF_Top7', 'pred_RF_RF_Top6', 'pred_RFE_RF_RF_Top5', 'pred_XGB_RF_Top5']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,10,LinearRegression,XGB,2,0.754626561206947,5187.957160953363,51.42239673013728,"['pred_RF_RF_Top5', 'pred_RF_XGB_RF_Top7']"
prf2000_mean_raw_Aug_9input_PMinMax,FS_MetaModel,10,RandomForest,XGB,5,0.6975968179903622,6393.743191271609,57.16679543333334,"['pred_RF_RF_Top5', 'pred_RF_XGB_RF_Top7', 'pred_XGB_RF_Top5', 'pred_RF_RF_Top6', 'pred_XGB_RF_Top6']"
