Dataset,Method,Top_K,Meta_Model,FS_Method,Best_n,R2,MSE,MAE,Selected_Features
prf2000_mean_raw_Aug_9input_QMinMax,RandomAverage,10,None,None,10,0.7685227644178343,4894.148233171297,49.99630415830934,"['pred_RF_XGB_RF_Top5', 'pred_RF_RF_Top15', 'pred_RFE_RF_XGB_Top5', 'pred_RF_XGB_Top30', 'pred_RF_XGB_XGB_Top17', 'pred_XGB_XGB_Top20', 'pred_RF_XGB_Top5', 'pred_RFE_RF_XGB_Top25', 'pred_RF_XGB_Top36', 'pred_XGB_XGB_Top5']"
prf2000_mean_raw_Aug_9input_QMinMax,TopKAverage,10,None,None,10,0.7737461576423652,4783.709465157226,50.58740458016972,"['pred_RF_XGB_XGB_Top17', 'pred_XGB_RF_Top14', 'pred_RF_XGB_RF_Top15', 'pred_RF_XGB_Top36', 'pred_XGB_XGB_Top20', 'pred_RF_RF_Top16', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_XGB_Top15', 'pred_RF_RF_Top15', 'pred_RFE_RF_XGB_Top35']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,10,LinearRegression,RF,2,0.7776283433870546,4701.627991981564,49.817148192104554,"['pred_RF_XGB_XGB_Top15', 'pred_RF_XGB_RF_Top15']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,10,RandomForest,RF,2,0.7499000749463607,5287.88977127325,54.34973897301586,"['pred_RF_XGB_XGB_Top15', 'pred_RF_XGB_RF_Top15']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,10,XGBoost,RF,10,0.7333790651722856,5637.19526817294,53.46847449536474,"['pred_RF_XGB_XGB_Top15', 'pred_RF_XGB_RF_Top15', 'pred_XGB_XGB_Top20', 'pred_RF_XGB_Top36', 'pred_RF_RF_Top15', 'pred_XGB_RF_Top14', 'pred_RF_XGB_XGB_Top17', 'pred_RFE_RF_XGB_Top35', 'pred_XGB_XGB_Top15', 'pred_RF_RF_Top16']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,10,LinearRegression,RFE_RF,5,0.7727170170405281,4805.468696234521,50.58417099230493,"['pred_RF_XGB_RF_Top15', 'pred_RF_XGB_Top36', 'pred_XGB_XGB_Top20', 'pred_RF_XGB_XGB_Top15', 'pred_RF_RF_Top15']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,10,RandomForest,RFE_RF,9,0.7420722699022241,5453.393900135077,54.95346036190476,"['pred_RF_XGB_XGB_Top17', 'pred_XGB_RF_Top14', 'pred_RF_XGB_RF_Top15', 'pred_RF_XGB_Top36', 'pred_XGB_XGB_Top20', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_XGB_Top15', 'pred_RF_RF_Top15', 'pred_RFE_RF_XGB_Top35']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,10,XGBoost,RFE_RF,10,0.7239937305029602,5835.630414394029,55.03557677623884,"['pred_RF_XGB_XGB_Top17', 'pred_XGB_RF_Top14', 'pred_RF_XGB_RF_Top15', 'pred_RF_XGB_Top36', 'pred_XGB_XGB_Top20', 'pred_RF_RF_Top16', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_XGB_Top15', 'pred_RF_RF_Top15', 'pred_RFE_RF_XGB_Top35']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,10,LinearRegression,XGB,4,0.7757766002524804,4740.779597397837,50.554667574813195,"['pred_RF_XGB_RF_Top15', 'pred_RF_RF_Top15', 'pred_XGB_XGB_Top15', 'pred_RF_XGB_XGB_Top15']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,10,RandomForest,XGB,9,0.740877790214721,5478.648913387028,54.93941562698413,"['pred_RF_XGB_RF_Top15', 'pred_RF_RF_Top15', 'pred_XGB_XGB_Top15', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_XGB_Top20', 'pred_XGB_RF_Top14', 'pred_RF_XGB_Top36', 'pred_RF_XGB_XGB_Top17', 'pred_RFE_RF_XGB_Top35']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,10,XGBoost,XGB,10,0.742192420017914,5450.85355324118,53.61539292889094,"['pred_RF_XGB_RF_Top15', 'pred_RF_RF_Top15', 'pred_XGB_XGB_Top15', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_XGB_Top20', 'pred_XGB_RF_Top14', 'pred_RF_XGB_Top36', 'pred_RF_XGB_XGB_Top17', 'pred_RFE_RF_XGB_Top35', 'pred_RF_RF_Top16']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,10,LinearRegression,RF_XGB,3,0.7770324342219234,4714.227363925515,49.792507075981895,"['pred_RF_XGB_RF_Top15', 'pred_RF_RF_Top15', 'pred_RF_XGB_XGB_Top15']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,10,RandomForest,RF_XGB,9,0.740846296450569,5479.314789449495,55.02311849047618,"['pred_RF_XGB_RF_Top15', 'pred_RF_RF_Top15', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_XGB_Top20', 'pred_XGB_XGB_Top15', 'pred_RF_XGB_Top36', 'pred_XGB_RF_Top14', 'pred_RF_XGB_XGB_Top17', 'pred_RFE_RF_XGB_Top35']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,10,XGBoost,RF_XGB,10,0.7458954358594158,5372.560288711252,53.21063586818906,"['pred_RF_XGB_RF_Top15', 'pred_RF_RF_Top15', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_XGB_Top20', 'pred_XGB_XGB_Top15', 'pred_RF_XGB_Top36', 'pred_XGB_RF_Top14', 'pred_RF_XGB_XGB_Top17', 'pred_RFE_RF_XGB_Top35', 'pred_RF_RF_Top16']"
prf2000_mean_raw_Aug_9input_QMinMax,RandomAverage,20,None,None,20,0.7755593925761528,4745.372042796007,49.50737207699738,"['pred_RFE_RF_XGB_Top25', 'pred_RF_XGB_Top20', 'pred_RF_XGB_XGB_Top10', 'pred_RFE_RF_RF_Top5', 'pred_RF_XGB_XGB_Top17', 'pred_RFE_RF_XGB_Top30', 'pred_RFE_RF_RF_Top15', 'pred_RF_XGB_Top10', 'pred_RF_XGB_RF_Top5', 'pred_XGB_XGB_Top15', 'pred_XGB_XGB_Top20', 'pred_XGB_RF_Top14', 'pred_RFE_RF_RF_Top10', 'pred_RF_XGB_Top36', 'pred_RFE_RF_XGB_Top5', 'pred_RFE_RF_XGB_Top35', 'pred_XGB_XGB_Top5', 'pred_RF_XGB_Top30', 'pred_XGB_RF_Top10', 'pred_RF_XGB_Top15']"
prf2000_mean_raw_Aug_9input_QMinMax,TopKAverage,20,None,None,20,0.7742757121238147,4772.51303746862,50.236808263367756,"['pred_RF_XGB_XGB_Top17', 'pred_XGB_RF_Top14', 'pred_RF_XGB_RF_Top15', 'pred_RF_XGB_Top36', 'pred_XGB_XGB_Top20', 'pred_RF_RF_Top16', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_XGB_Top15', 'pred_RF_RF_Top15', 'pred_RFE_RF_XGB_Top35', 'pred_RFE_RF_RF_Top20', 'pred_RF_XGB_RF_Top10', 'pred_RFE_RF_RF_Top15', 'pred_XGB_RF_Top10', 'pred_RFE_RF_RF_Top10', 'pred_RF_XGB_Top20', 'pred_RF_RF_Top10', 'pred_RFE_RF_RF_Top5', 'pred_RF_XGB_Top35', 'pred_RFE_RF_XGB_Top25']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,20,LinearRegression,RF,6,0.7736878067837669,4784.943183672979,50.310138319679986,"['pred_RF_XGB_XGB_Top15', 'pred_XGB_XGB_Top20', 'pred_RFE_RF_RF_Top15', 'pred_RF_XGB_Top36', 'pred_RF_XGB_RF_Top15', 'pred_RFE_RF_RF_Top20']"
