Dataset,Method,Top_K,Meta_Model,FS_Method,Best_n,R2,MSE,MAE,Selected_Features
tvol_lidarLivePMinMax,RandomAverage,10,None,None,10,0.776976132617397,7930.163946486195,69.10094900656766,"['pred_RF_XGB_RF_Top15', 'pred_XGB_RF_Top25', 'pred_RF_RF_Top10', 'pred_XGB_XGB_Top10', 'pred_RF_XGB_RF_Top20', 'pred_RF_XGB_RF_Top34', 'pred_RFE_RF_RF_Top20', 'pred_RF_XGB_Top5', 'pred_RFE_RF_XGB_Top25', 'pred_XGB_RF_Top20']"
tvol_lidarLivePMinMax,TopKAverage,10,None,None,10,0.7625582573307789,8442.8270803683,69.6035769455381,"['pred_RFE_RF_RF_Top32', 'pred_RF_XGB_RF_Top34', 'pred_XGB_RF_Top27', 'pred_RF_XGB_RF_Top30', 'pred_RF_RF_Top30', 'pred_RFE_RF_RF_Top15', 'pred_RFE_RF_RF_Top20', 'pred_XGB_RF_Top20', 'pred_RF_RF_Top25', 'pred_RF_RF_Top15']"
tvol_lidarLivePMinMax,FS_MetaModel,10,LinearRegression,RF,10,0.7694314152293558,8198.434990833348,72.68296215441958,"['pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top15', 'pred_RF_RF_Top15', 'pred_XGB_RF_Top20', 'pred_RFE_RF_RF_Top32', 'pred_RF_RF_Top25', 'pred_RF_RF_Top30', 'pred_RFE_RF_RF_Top20', 'pred_RF_XGB_RF_Top30', 'pred_RF_XGB_RF_Top34']"
tvol_lidarLivePMinMax,FS_MetaModel,10,RandomForest,RF,5,0.5244716393141812,16908.584295030123,89.681475204136,"['pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top15', 'pred_RF_RF_Top15', 'pred_XGB_RF_Top20', 'pred_RFE_RF_RF_Top32']"
tvol_lidarLivePMinMax,FS_MetaModel,10,XGBoost,RF,5,0.3489396685803815,23150.05666345983,107.97474201745312,"['pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top15', 'pred_RF_RF_Top15', 'pred_XGB_RF_Top20', 'pred_RFE_RF_RF_Top32']"
tvol_lidarLivePMinMax,FS_MetaModel,10,LinearRegression,RFE_RF,10,0.769431415229356,8198.434990833337,72.68296215441964,"['pred_RFE_RF_RF_Top32', 'pred_RF_XGB_RF_Top34', 'pred_XGB_RF_Top27', 'pred_RF_XGB_RF_Top30', 'pred_RF_RF_Top30', 'pred_RFE_RF_RF_Top15', 'pred_RFE_RF_RF_Top20', 'pred_XGB_RF_Top20', 'pred_RF_RF_Top25', 'pred_RF_RF_Top15']"
tvol_lidarLivePMinMax,FS_MetaModel,10,RandomForest,RFE_RF,4,0.49674588784543583,17894.441805560553,96.95502762852408,"['pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top15', 'pred_XGB_RF_Top20', 'pred_RF_RF_Top15']"
tvol_lidarLivePMinMax,FS_MetaModel,10,XGBoost,RFE_RF,9,0.4262933781244642,20399.554639830676,113.43097621264452,"['pred_RFE_RF_RF_Top32', 'pred_XGB_RF_Top27', 'pred_RF_XGB_RF_Top30', 'pred_RF_RF_Top30', 'pred_RFE_RF_RF_Top15', 'pred_RFE_RF_RF_Top20', 'pred_XGB_RF_Top20', 'pred_RF_RF_Top25', 'pred_RF_RF_Top15']"
tvol_lidarLivePMinMax,FS_MetaModel,10,LinearRegression,XGB,5,0.7992898790869053,7136.743628561371,69.4952194223856,"['pred_XGB_RF_Top27', 'pred_RF_XGB_RF_Top30', 'pred_RFE_RF_RF_Top32', 'pred_RF_RF_Top30', 'pred_RFE_RF_RF_Top15']"
tvol_lidarLivePMinMax,FS_MetaModel,10,RandomForest,XGB,9,0.4713749718034913,18796.567331614675,99.124108048688,"['pred_XGB_RF_Top27', 'pred_RF_XGB_RF_Top30', 'pred_RFE_RF_RF_Top32', 'pred_RF_RF_Top30', 'pred_RFE_RF_RF_Top15', 'pred_RF_RF_Top25', 'pred_RF_RF_Top15', 'pred_RF_XGB_RF_Top34', 'pred_XGB_RF_Top20']"
