FS_Method,Model,Features_Used,Best_Params,CV_R2,CV_MSE,CV_MAE,Test_R2,Test_MSE,Test_MAE,R2_Rank
XGB,XGB,10,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6348687582935633,8577.769300290276,67.20485502722751,0.8192707825119576,6426.273301689382,68.25280301091016,1.0
RF,XGB,15,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6088478583241608,9391.406460611886,69.27804602761809,0.8047902409551743,6941.164689444755,68.51880429264844,2.0
RF_XGB,XGB,15,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6720230396676973,8059.209912092665,63.55668010398158,0.8003193823053705,7100.13710118976,69.45450680729688,3.0
RF_XGB,XGB,10,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.5956926690156047,9169.933679140016,70.62485904062696,0.7945013803731564,7307.010516599959,69.29179037162892,4.0
RFE_RF,XGB,15,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6271999613869406,8940.495680172995,66.18704171533912,0.7910948656704024,7428.13755289429,71.15348202702344,5.0
XGB,XGB,16,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6614481088102654,8117.245140701161,63.22831229867789,0.7889580857227257,7504.116036728808,70.7941042804414,6.0
RFE_RF,XGB,25,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.6234472406843595,8906.316702494489,64.18216637939965,0.7806059602445692,7801.096468109184,68.95814396655078,7.0
RF,XGB,10,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.5818525961407455,9515.220497404545,71.62991247597564,0.7797539965887819,7831.390138226791,71.10806699621486,8.0
RF,RF,15,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6804733259234392,7317.069084912802,61.63208032542858,0.77526406355318,7991.0407868274815,67.86241886865974,9.0
RFE_RF,RF,32,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",0.6896957261512899,7017.986947276943,60.4704861587616,0.7730231474090595,8070.722090096773,69.21557350358611,10.0
