Dataset,Method,Top_K,Meta_Model,FS_Method,Best_n,R2,MSE,MAE,Selected_Features
tvol_lidarLiveP_in_,RandomAverage,10,None,None,10,0.7693598244620783,8200.980577223843,71.19769504746002,"['pred_XGB_RF_Top5', 'pred_RF_RF_Top31', 'pred_RFE_RF_RF_Top25', 'pred_RF_XGB_XGB_Top10', 'pred_RFE_RF_XGB_Top30', 'pred_XGB_XGB_Top5', 'pred_RF_XGB_RF_Top15', 'pred_RFE_RF_XGB_Top15', 'pred_XGB_RF_Top10', 'pred_XGB_RF_Top20']"
tvol_lidarLiveP_in_,TopKAverage,10,None,None,10,0.7570371729107438,8639.142860948674,70.26476606456464,"['pred_RF_RF_Top31', 'pred_RFE_RF_RF_Top37', 'pred_RF_XGB_RF_Top27', 'pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top15', 'pred_RF_RF_Top30', 'pred_RFE_RF_RF_Top20', 'pred_RFE_RF_RF_Top35', 'pred_XGB_RF_Top20', 'pred_RFE_RF_RF_Top30']"
tvol_lidarLiveP_in_,FS_MetaModel,10,LinearRegression,RF,10,0.8008540781374774,7081.1246714445715,70.14828171537472,"['pred_RFE_RF_RF_Top15', 'pred_RFE_RF_RF_Top30', 'pred_XGB_RF_Top27', 'pred_RF_XGB_RF_Top27', 'pred_XGB_RF_Top20', 'pred_RFE_RF_RF_Top37', 'pred_RF_RF_Top31', 'pred_RFE_RF_RF_Top20', 'pred_RF_RF_Top30', 'pred_RFE_RF_RF_Top35']"
tvol_lidarLiveP_in_,FS_MetaModel,10,RandomForest,RF,4,0.4634714472914542,19077.596648660838,101.46524591447204,"['pred_RFE_RF_RF_Top15', 'pred_RFE_RF_RF_Top30', 'pred_XGB_RF_Top27', 'pred_RF_XGB_RF_Top27']"
tvol_lidarLiveP_in_,FS_MetaModel,10,XGBoost,RF,2,0.5195485803769204,17083.635803861314,101.34996178552734,"['pred_RFE_RF_RF_Top15', 'pred_RFE_RF_RF_Top30']"
tvol_lidarLiveP_in_,FS_MetaModel,10,LinearRegression,RFE_RF,10,0.8008540781374777,7081.124671444566,70.14828171537467,"['pred_RF_RF_Top31', 'pred_RFE_RF_RF_Top37', 'pred_RF_XGB_RF_Top27', 'pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top15', 'pred_RF_RF_Top30', 'pred_RFE_RF_RF_Top20', 'pred_RFE_RF_RF_Top35', 'pred_XGB_RF_Top20', 'pred_RFE_RF_RF_Top30']"
tvol_lidarLiveP_in_,FS_MetaModel,10,RandomForest,RFE_RF,2,0.47345494363033547,18722.60880069812,103.19634921267203,"['pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top15']"
tvol_lidarLiveP_in_,FS_MetaModel,10,XGBoost,RFE_RF,5,0.4278959388277347,20342.5716394896,114.28344468357031,"['pred_RF_XGB_RF_Top27', 'pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top15', 'pred_XGB_RF_Top20', 'pred_RFE_RF_RF_Top30']"
tvol_lidarLiveP_in_,FS_MetaModel,10,LinearRegression,XGB,10,0.800854078137478,7081.124671444555,70.14828171537464,"['pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top30', 'pred_RFE_RF_RF_Top15', 'pred_RFE_RF_RF_Top37', 'pred_RF_RF_Top31', 'pred_XGB_RF_Top20', 'pred_RFE_RF_RF_Top20', 'pred_RF_RF_Top30', 'pred_RFE_RF_RF_Top35', 'pred_RF_XGB_RF_Top27']"
tvol_lidarLiveP_in_,FS_MetaModel,10,RandomForest,XGB,7,0.4499792162556645,19557.346217051778,103.148500777112,"['pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top30', 'pred_RFE_RF_RF_Top15', 'pred_RFE_RF_RF_Top37', 'pred_RF_RF_Top31', 'pred_XGB_RF_Top20', 'pred_RFE_RF_RF_Top20']"
tvol_lidarLiveP_in_,FS_MetaModel,10,XGBoost,XGB,4,0.3004154415577851,24875.455295372,120.5936887008086,"['pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top30', 'pred_RFE_RF_RF_Top15', 'pred_RFE_RF_RF_Top37']"
tvol_lidarLiveP_in_,FS_MetaModel,10,LinearRegression,RF_XGB,10,0.8008540781374787,7081.124671444527,70.14828171537451,"['pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top30', 'pred_RFE_RF_RF_Top15', 'pred_RFE_RF_RF_Top37', 'pred_XGB_RF_Top20', 'pred_RF_RF_Top31', 'pred_RF_XGB_RF_Top27', 'pred_RFE_RF_RF_Top20', 'pred_RF_RF_Top30', 'pred_RFE_RF_RF_Top35']"
tvol_lidarLiveP_in_,FS_MetaModel,10,RandomForest,RF_XGB,8,0.4482279838065947,19619.61560818248,101.84903879545604,"['pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top30', 'pred_RFE_RF_RF_Top15', 'pred_RFE_RF_RF_Top37', 'pred_XGB_RF_Top20', 'pred_RF_RF_Top31', 'pred_RF_XGB_RF_Top27', 'pred_RFE_RF_RF_Top20']"
tvol_lidarLiveP_in_,FS_MetaModel,10,XGBoost,RF_XGB,4,0.3004154415577851,24875.455295372,120.5936887008086,"['pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top30', 'pred_RFE_RF_RF_Top15', 'pred_RFE_RF_RF_Top37']"
tvol_lidarLiveP_in_,RandomAverage,20,None,None,20,0.7716511743042891,8119.50597936695,70.0949064263791,"['pred_XGB_RF_Top15', 'pred_XGB_RF_Top27', 'pred_RF_XGB_RF_Top15', 'pred_RF_XGB_Top15', 'pred_RF_RF_Top25', 'pred_RFE_RF_RF_Top20', 'pred_RFE_RF_RF_Top5', 'pred_XGB_XGB_Top15', 'pred_RFE_RF_XGB_Top15', 'pred_RF_XGB_Top5', 'pred_XGB_XGB_Top10', 'pred_RFE_RF_RF_Top37', 'pred_RF_XGB_RF_Top20', 'pred_RF_XGB_RF_Top27', 'pred_RFE_RF_XGB_Top10', 'pred_RF_XGB_Top21', 'pred_RFE_RF_RF_Top30', 'pred_XGB_RF_Top10', 'pred_RF_XGB_RF_Top10', 'pred_RF_XGB_RF_Top5']"
tvol_lidarLiveP_in_,TopKAverage,20,None,None,20,0.7597849978577291,8541.437164327173,69.95748890510193,"['pred_RF_RF_Top31', 'pred_RFE_RF_RF_Top37', 'pred_RF_XGB_RF_Top27', 'pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top15', 'pred_RF_RF_Top30', 'pred_RFE_RF_RF_Top20', 'pred_RFE_RF_RF_Top35', 'pred_XGB_RF_Top20', 'pred_RFE_RF_RF_Top30', 'pred_RF_RF_Top25', 'pred_RFE_RF_RF_Top25', 'pred_RF_XGB_RF_Top20', 'pred_RF_XGB_RF_Top25', 'pred_RF_RF_Top15', 'pred_XGB_RF_Top25', 'pred_XGB_RF_Top15', 'pred_RF_XGB_RF_Top15', 'pred_RF_XGB_XGB_Top15', 'pred_RF_RF_Top20']"
