FS_Method,Model,Features_Used,Best_Params,CV_R2,CV_MSE,CV_MAE,Test_R2,Test_MSE,Test_MAE,R2_Rank
XGB,XGB,10,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6348687582935633,8577.769300290276,67.20485502722751,0.8192707825119576,6426.273301689382,68.25280301091016,1.0
RFE_RF,XGB,15,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6271999613869406,8940.495680172995,66.18704171533912,0.7910948656704024,7428.13755289429,71.15348202702344,2.0
XGB,XGB,16,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6614481088102654,8117.245140701161,63.22831229867789,0.7889580857227257,7504.116036728808,70.7941042804414,3.0
RF,XGB,10,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.5732642634745446,9718.37424801008,72.48795398280068,0.7819345398848923,7753.855540546704,70.99595426428127,4.0
RF_XGB,RF,15,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6734695536552094,7248.9731043529955,60.716819642212954,0.7807414755229247,7796.277887984893,67.50928994217045,5.0
RFE_RF,XGB,25,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.6234472406843595,8906.316702494489,64.18216637939965,0.7806059602445692,7801.096468109184,68.95814396655078,6.0
RF_XGB,XGB,10,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.5957269312045883,9169.682052618742,70.62157938019769,0.7782725728963017,7884.065813227183,71.05027639457813,7.0
RF,RF,15,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6750978870561329,7486.650931827976,61.96194381380581,0.7755805174900714,7979.788486208221,67.84991890482824,8.0
XGB,RF,10,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.6689410087914844,7214.7504731432045,62.06555354146741,0.7729831478705745,8072.144372391902,69.84985744885859,9.0
RFE_RF,XGB,10,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.613583070432758,9047.903548525199,70.07172195917111,0.7720274797853098,8106.125509404347,71.46812734672658,10.0
RF,XGB,5,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.6023938243654652,9241.521875811313,71.66564734247876,0.7717366980923703,8116.464970040152,73.18180629165234,11.0
XGB,RF,15,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6735488136543902,7271.218858434002,61.18773023213572,0.7704340755719312,8162.782928152438,69.1916654102485,12.0
RFE_RF,XGB,5,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.6022110960403213,9231.54925838081,71.56461203704684,0.7688351029014862,8219.638347132448,73.84484645278515,13.0
RF,RF,25,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6797784117261709,7162.927385178792,61.064827112991956,0.7661312385298332,8315.780917019312,68.24161002046768,14.0
RF_XGB,RF,27,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6895585320862975,7021.070583244023,60.533779368587936,0.7659250265610872,8323.11329242413,68.8995870449733,15.0
RFE_RF,XGB,31,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6386010601329117,8810.331120391576,64.21158294236893,0.7626447240456922,8439.752542951192,75.323658418625,16.0
RFE_RF,RF,37,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6903323872135702,6976.61284232982,60.93065587551296,0.7615525683281198,8478.586834532114,69.12431368985524,17.0
RFE_RF,RF,15,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6858355167670973,7112.367158376718,60.601261958695076,0.7614230443321912,8483.192379825416,71.44902070352686,18.0
RFE_RF,XGB,20,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6259820786362853,8922.52692303603,65.23464518769363,0.7610283709555071,8497.225965643605,74.65545987126171,19.0
RF,XGB,20,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6308295111845573,9028.202761167497,66.07104181286329,0.760585585325731,8512.970301344003,73.00300442692578,20.0
XGB,XGB,15,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.6276714530443634,9001.315192143207,67.81750841792902,0.7596335489820384,8546.822302823035,69.96270688053906,21.0
XGB,RF,20,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6834935122746879,7086.922606807859,60.29649201106205,0.759266493151321,8559.873878644332,69.79819159522899,22.0
RF,XGB,15,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.6091719140553038,9384.385564128648,69.09349754744797,0.7585562446196136,8585.12851782395,70.44829319750781,23.0
RF,RF,20,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6713531811308818,7425.449740669044,61.66341452175401,0.7579355129691119,8607.200163397232,70.64097837936872,24.0
RF_XGB,RF,25,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6759943701424456,7190.065962484071,61.45157342627856,0.7571272775492341,8635.938968181708,70.58655229859806,25.0
RF,RF,31,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.691605734118071,6975.683855245042,60.40973945871517,0.7562995257798453,8665.3717249323,71.04757400553872,26.0
RFE_RF,XGB,30,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6231330112470397,9100.764169416478,65.52806707914814,0.7553732004757646,8698.309506952446,74.49434262272656,27.0
XGB,RF,27,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6891110533144403,6995.174832829268,60.3795943809933,0.754135004083625,8742.336635092814,69.9026631321097,28.0
RF,RF,30,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6852341001074802,7111.230842399754,60.53485258312009,0.7539006461899915,8750.6698083109,70.33426295746072,29.0
RF,RF,10,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6418293748537465,7983.788778489134,66.10436636685937,0.7535596656736643,8762.794211984676,71.18316952517047,30.0
RF_XGB,RF,20,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6770659616662271,7238.734237174076,61.53034012795222,0.7526450223567884,8795.31661212286,70.73299668951067,31.0
RFE_RF,RF,20,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6849820553637682,7023.058348788044,60.74298376153928,0.7520111436887573,8817.855732346454,71.08611477793029,32.0
RFE_RF,RF,35,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6836915322718398,7190.295943808908,61.20000465844061,0.7516645777163469,8830.178740694138,69.37523932945928,33.0
XGB,RF,5,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6525195746457008,7804.275000896465,65.10768057099017,0.7477934611797189,8967.825841660015,74.84610409558307,34.0
RF_XGB,RF,5,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6492303201072676,7861.2869927704205,65.32257252492141,0.7469377268128713,8998.253588714111,74.74143270080947,35.0
XGB,RF,25,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6739474200922665,7270.275732075024,61.224072896948655,0.7465136147418169,9013.333939954615,71.70345758214738,36.0
RFE_RF,RF,30,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6799889121803304,7183.917389620396,61.30315772425312,0.7459660653918805,9032.803408244024,72.46412002792692,37.0
RF_XGB,XGB,15,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.6724741873149261,8056.558762235194,63.54012479468592,0.7448696272138607,9071.78997327371,69.53383274828906,38.0
RFE_RF,RF,25,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.678838423603913,7211.955686130794,60.96406141593214,0.7403220313695807,9233.490965327768,71.41169631059674,39.0
RF_XGB,RF,10,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6533912480519852,7687.6978865045385,65.52482966209196,0.740289521310675,9234.646940695147,72.90126101310925,40.0
RF_XGB,XGB,5,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6003291613988996,8839.804055689325,68.74504099742471,0.7388472233738013,9285.93140290684,75.93145975876172,41.0
RFE_RF,RF,10,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.6609660808007384,7588.103298462869,64.70207179666473,0.7347537249169951,9431.485841802256,70.80558721748628,42.0
RF,XGB,21,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 42, 'subsample': 1.0}",0.6537771940604293,8348.032848719567,64.55079053217882,0.7336131874695213,9472.040465178316,70.66815630267578,43.0
RF,RF,5,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.6322947239759309,8328.33338855143,67.19529557393525,0.7236993445145197,9824.551615198005,77.5087754144053,44.0
