FS_Method,Model,Features_Used,Best_Params,CV_R2,CV_MSE,CV_MAE,Test_R2,Test_MSE,Test_MAE,R2_Rank
RF_XGB,RF,70,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.6789335241917103,7280.113509136211,62.63048773131071,0.8697939609150837,4629.797020758328,56.258925578045385,1.0
RFE_RF,RF,74,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.7051293707186947,6871.821703493354,59.66611649581517,0.8664912621877111,4747.232623867945,58.92011683465509,2.0
RF,XGB,70,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.614923810571715,8630.854312411986,64.54418338493745,0.8573836501674226,5071.076243519525,63.69940057654687,3.0
RFE_RF,RF,70,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6989890407501951,6948.404414999995,59.95835843917634,0.8557157667650389,5130.38195362021,61.19015017255232,4.0
XGB,RF,70,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.7010975622775272,7004.371193235019,59.74450364683348,0.8514523312718691,5281.978923186263,60.95459677840418,5.0
RF_XGB,RF,111,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6931561664056685,7136.600966314237,60.46746303022187,0.8504776997114867,5316.634353351475,60.633544743391646,6.0
XGB,RF,185,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.7037868602882048,6880.1205022951635,59.17228750703081,0.8504214425821905,5318.63471440571,60.74734584525959,7.0
RF,RF,70,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200, 'random_state': 42}",0.6733914885151263,7468.465724361927,62.57597518229464,0.8499883062618845,5334.035945096918,62.119839200355784,8.0
XGB,RF,130,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.695022656113078,6955.4045911177445,59.52333955901472,0.8468292325510465,5446.364606329403,61.27988963419589,9.0
RF_XGB,XGB,20,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6430120696815389,8000.147276762528,66.94895135403358,0.8457570385233316,5484.489110769262,62.382031562398446,10.0
RF,RF,103,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6950809815904233,7123.378997638543,60.433467665960265,0.8457497074092957,5484.74978661933,62.298591376282026,11.0
RF,XGB,10,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6320279158359565,8332.00545928693,67.69145549757755,0.8427520311947426,5591.339561601153,62.00032961947656,12.0
RF,RF,10,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.6697820858385719,7683.018491727169,64.78512376255046,0.835499737429841,5849.212762432555,63.209499726097036,13.0
RF_XGB,RF,10,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.6802180610140812,7496.156207531029,63.91077369937633,0.8342254142726553,5894.52446685184,61.99702957213773,14.0
RFE_RF,RF,10,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.6712530190145445,7740.909888044711,65.35462650286696,0.8335472902020689,5918.636841544829,63.885734842879295,15.0
RF,XGB,72,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'random_state': 42, 'subsample': 0.8}",0.638650742143248,8698.231976556328,64.91247071374093,0.8335293034735589,5919.276404061696,67.02708041824218,16.0
RF_XGB,XGB,10,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6336458885131284,8516.341608968778,69.83736984925613,0.8314003031017854,5994.978265877819,65.79357299159375,17.0
RFE_RF,XGB,10,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6100404653652465,8996.899870034093,69.73884486807954,0.8277227603778948,6125.74237226213,64.64558648405078,18.0
XGB,XGB,10,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.6327995608869286,8157.633704247683,67.07580239309958,0.8130287255053971,6648.225041681492,68.05823378205079,19.0
RFE_RF,XGB,42,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.6535784413682035,8436.810775794664,63.01819764155464,0.8038534468490348,6974.474715555295,72.29767842755858,20.0
XGB,XGB,49,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.6881872799540828,7186.34694354316,60.74417081810717,0.8004587522852742,7095.1814576399165,69.83381201025,21.0
XGB,RF,10,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.6756974884434098,7516.2349826722575,64.39673186987544,0.795656475042523,7265.938275277576,67.50426570323103,22.0
