Dataset,Method,Top_K,Meta_Model,FS_Method,Best_n,R2,MSE,MAE,Selected_Features
tvol_lidarLiveQMinMax,RandomAverage,10,None,None,10,0.8528554610828822,5232.087180342224,61.73193509373496,"['pred_XGB_XGB_Top49', 'pred_RF_XGB_XGB_Top10', 'pred_RF_XGB_Top70', 'pred_RF_XGB_XGB_Top20', 'pred_RFE_RF_RF_Top70', 'pred_XGB_RF_Top10', 'pred_RFE_RF_XGB_Top42', 'pred_XGB_RF_Top185', 'pred_XGB_RF_Top70', 'pred_RFE_RF_XGB_Top10']"
tvol_lidarLiveQMinMax,TopKAverage,10,None,None,10,0.8552459504698088,5147.087431332663,59.93932069304743,"['pred_RFE_RF_RF_Top74', 'pred_XGB_RF_Top185', 'pred_XGB_RF_Top70', 'pred_RFE_RF_RF_Top70', 'pred_RF_RF_Top103', 'pred_XGB_RF_Top130', 'pred_RF_XGB_RF_Top111', 'pred_XGB_XGB_Top49', 'pred_RF_XGB_RF_Top10', 'pred_RF_XGB_RF_Top70']"
tvol_lidarLiveQMinMax,FS_MetaModel,10,LinearRegression,RF,9,0.8514653705595814,5281.515279135442,58.55049831545983,"['pred_RF_XGB_RF_Top10', 'pred_XGB_XGB_Top49', 'pred_XGB_RF_Top185', 'pred_XGB_RF_Top130', 'pred_RF_XGB_RF_Top111', 'pred_XGB_RF_Top70', 'pred_RF_XGB_RF_Top70', 'pred_RFE_RF_RF_Top74', 'pred_RF_RF_Top103']"
tvol_lidarLiveQMinMax,FS_MetaModel,10,RandomForest,RF,6,0.7411030471146411,9205.720023249669,80.55396381625205,"['pred_RF_XGB_RF_Top10', 'pred_XGB_XGB_Top49', 'pred_XGB_RF_Top185', 'pred_XGB_RF_Top130', 'pred_RF_XGB_RF_Top111', 'pred_XGB_RF_Top70']"
tvol_lidarLiveQMinMax,FS_MetaModel,10,XGBoost,RF,10,0.7584896862488679,8587.495164937638,78.24802083873828,"['pred_RF_XGB_RF_Top10', 'pred_XGB_XGB_Top49', 'pred_XGB_RF_Top185', 'pred_XGB_RF_Top130', 'pred_RF_XGB_RF_Top111', 'pred_XGB_RF_Top70', 'pred_RF_XGB_RF_Top70', 'pred_RFE_RF_RF_Top74', 'pred_RF_RF_Top103', 'pred_RFE_RF_RF_Top70']"
tvol_lidarLiveQMinMax,FS_MetaModel,10,LinearRegression,RFE_RF,9,0.8514653705595807,5281.515279135468,58.5504983154603,"['pred_RFE_RF_RF_Top74', 'pred_XGB_RF_Top185', 'pred_XGB_RF_Top70', 'pred_RF_RF_Top103', 'pred_XGB_RF_Top130', 'pred_RF_XGB_RF_Top111', 'pred_XGB_XGB_Top49', 'pred_RF_XGB_RF_Top10', 'pred_RF_XGB_RF_Top70']"
tvol_lidarLiveQMinMax,FS_MetaModel,10,RandomForest,RFE_RF,7,0.7386360182976144,9293.441320567885,82.7368346496401,"['pred_XGB_RF_Top185', 'pred_XGB_RF_Top70', 'pred_XGB_RF_Top130', 'pred_RF_XGB_RF_Top111', 'pred_XGB_XGB_Top49', 'pred_RF_XGB_RF_Top10', 'pred_RF_XGB_RF_Top70']"
tvol_lidarLiveQMinMax,FS_MetaModel,10,XGBoost,RFE_RF,9,0.756644016062196,8653.122522866737,75.95723245529297,"['pred_RFE_RF_RF_Top74', 'pred_XGB_RF_Top185', 'pred_XGB_RF_Top70', 'pred_RF_RF_Top103', 'pred_XGB_RF_Top130', 'pred_RF_XGB_RF_Top111', 'pred_XGB_XGB_Top49', 'pred_RF_XGB_RF_Top10', 'pred_RF_XGB_RF_Top70']"
tvol_lidarLiveQMinMax,FS_MetaModel,10,LinearRegression,XGB,8,0.8592465158054299,5004.837458886084,56.83328348098007,"['pred_RF_XGB_RF_Top10', 'pred_XGB_RF_Top70', 'pred_XGB_RF_Top185', 'pred_RF_RF_Top103', 'pred_XGB_XGB_Top49', 'pred_RF_XGB_RF_Top70', 'pred_RFE_RF_RF_Top74', 'pred_RF_XGB_RF_Top111']"
tvol_lidarLiveQMinMax,FS_MetaModel,10,RandomForest,XGB,2,0.7995027636771214,7129.173991634582,68.09528994647214,"['pred_RF_XGB_RF_Top10', 'pred_XGB_RF_Top70']"
